original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
It is not a mass-market entertainment but an educational attempt .,1,0.300688267,0.699311733,by one person,1,0.028650224,0.971349776,It is not a mass-market entertainment but an educational attempt by one person .,1,0.447437286,0.552562714,212,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
It is not a mass-market entertainment but an educational attempt .,1,0.300688267,0.699311733,by one artist,1,0.00912267,0.99087733,It is not a mass-market entertainment but an educational attempt by one artist .,1,0.475949705,0.524050295,213,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
And i might .,1,0.093937635,0.906062365,if the hours said ` best picture ',1,0.35848403,0.64151597,And if the hours said ` best picture ' i might .,0,0.844338357,0.155661643,2316,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,the hours,0,blank
Benefits from a better performance from zhao .,1,0.146848202,0.853151798,but it 's dong jie 's face,1,0.076329648,0.923670352,"Benefits from a better performance from zhao , but i's dong jie 's face .",1,0.496190369,0.503809631,4565,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,dong jie 's,0,blank,0,blank,0,blank,0,blank
"One minute , you know you're watching a serious actioner ; the next , it's as though clips .",0,0.838436782,0.161563218,from the pink panther movie again and/or sailor moon,1,0.132855117,0.867144883,"One minute , you know you're watching a serious actioner ; the next , it's as though clips from the pink panther movie again and/or sailor moon .",0,0.974808812,0.025191188,17489,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,moon,0,blank,0,blank,0,blank,0,blank
On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.296122015,0.703877985,in a halloween costume,1,0.195133924,0.804866076,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811638,0.513188362,25208,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.296122015,0.703877985,in a halloween costume,1,0.195133924,0.804866076,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811638,0.513188362,25223,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.296122015,0.703877985,in a halloween costume,1,0.195133924,0.804866076,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811638,0.513188362,25228,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.296122015,0.703877985,in a halloween costume,1,0.195133924,0.804866076,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811638,0.513188362,25243,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
tourists might want to consider a different destination .,0,0.733852863,0.266147137,If this is the danish border,1,0.403255403,0.596744597,"If this is the danish border , tourists might want to consider a different destination .",0,0.968126297,0.031873703,25610,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,danish,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
tourists might want to consider a different destination .,0,0.733852863,0.266147137,If this is the danish coast,1,0.241220653,0.758779347,"If this is the danish coast , tourists might want to consider a different destination .",0,0.967958033,0.032041967,25611,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,danish,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
Pryor lite .,1,0.083453655,0.916546345,"with half the demons , half the daring , much needed talent",1,0.265236437,0.734763563,"Pryor lite , with half the demons , half the daring , much needed talent .",1,0.184172988,0.815827012,33774,2,"blank,half",0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
the legends like alfred hitchcock and john huston who directed trifles ... .,1,0.345925927,0.654074073,so it 's no surprise to see a world-class star like zhang yimou,0,0.585192919,0.414807081,the legends like alfred hitchcock and john huston who directed trifles ... so it's no surprise to see a world-class star like zhang yimou .,1,0.074497223,0.925502777,33860,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,zhang yimou,0,blank,0,blank,0,blank,0,blank
the legends like alfred hitchcock and john huston occasionally directed trifles ... .,0,0.788069308,0.211930692,so it 's no surprise to see a world-class star like zhang yimou,0,0.585192919,0.414807081,the legends like alfred hitchcock and john huston occasionally directed trifles ... so it's no surprise to see a world-class star like zhang yimou .,1,0.046756268,0.953243732,33870,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,zhang yimou,0,blank,0,blank,0,blank,0,blank
Even legends like alfred hitchcock and john huston who directed trifles ... .,0,0.769634604,0.230365396,so it 's no surprise to see a world-class star like zhang yimou,0,0.585192919,0.414807081,Even legends like alfred hitchcock and john huston who directed trifles ... so it's no surprise to see a world-class star like zhang yimou .,1,0.064552486,0.935447514,33881,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,zhang yimou,0,blank,0,blank,0,blank,0,blank
Even legends like alfred hitchcock and john huston have directed trifles ... .,0,0.958541095,0.041458905,so it 's no surprise to see a world-class star like zhang yimou,0,0.585192919,0.414807081,Even legends like alfred hitchcock and john huston have directed trifles ... so it's no surprise to see a world-class star like zhang yimou .,1,0.08172673,0.91827327,33893,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,zhang yimou,0,blank,0,blank,0,blank,0,blank
Even legends like alfred hitchcock and john huston had directed trifles ... .,0,0.974694848,0.025305152,so it 's no surprise to see a world-class star like zhang yimou,0,0.585192919,0.414807081,Even legends like alfred hitchcock and john huston had directed trifles ... so it's no surprise to see a world-class star like zhang yimou .,1,0.046655595,0.953344405,33902,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,zhang yimou,0,blank,0,blank,0,blank,0,blank
Even legends like alfred hitchcock and john huston occasionally directed trifles ... .,0,0.912566245,0.087433755,so it 's no surprise to see a world-class star like zhang yimou,0,0.585192919,0.414807081,Even legends like alfred hitchcock and john huston occasionally directed trifles ... so it's no surprise to see a world-class star like zhang yimou .,1,0.061357021,0.938642979,33912,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,zhang yimou,0,blank,0,blank,0,blank,0,blank
the legends like alfred hitchcock and john huston who directed trifles ... so it's no surprise to see a world-class star like zhang yimou behind the scenes .,1,0.082364917,0.917635083,for a decade,1,0.068211675,0.931788325,the legends like alfred hitchcock and john huston who directed trifles ... so it's no surprise to see a world-class star like zhang yimou behind the scenes for a decade .,1,0.182881594,0.817118406,34170,0,blank,1,a decade,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.339302778,0.660697222,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",1,0.481175005,0.518824995,38241,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.339302778,0.660697222,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",1,0.481175005,0.518824995,38242,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.339302778,0.660697222,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's news report .",0,0.556239188,0.443760812,38243,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.339302778,0.660697222,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",1,0.481175005,0.518824995,38244,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.339302778,0.660697222,than yesterday 's weather forecast,1,0.251714289,0.748285711,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather forecast .",1,0.494031787,0.505968213,38245,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.339302778,0.660697222,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",1,0.481175005,0.518824995,38246,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise .",1,0.489147723,0.510852277,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise than yesterday's news report .",0,0.649158597,0.350841403,38249,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise .",1,0.489147723,0.510852277,than yesterday 's weather forecast,1,0.251714289,0.748285711,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise than yesterday's weather forecast .",0,0.599243462,0.400756538,38251,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises .",1,0.420927465,0.579072535,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises than yesterday's weather report .",0,0.581486404,0.418513596,38254,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises .",1,0.420927465,0.579072535,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises than yesterday's news report .",0,0.635229766,0.364770234,38255,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
