,original_text,original_sentiment,original_neg_score,original_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,sent_id
0,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.940556169,0.059443831,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor. You are hard.",0,0.815369487,0.184630513,6
1,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.940556169,0.059443831,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor. You are hard.",0,0.815369487,0.184630513,6
2,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.940556169,0.059443831,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor. You are hard.",0,0.815369487,0.184630513,6
3,"Watching trouble every day , at least if you do n't know what 's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms .",0,0.862878084,0.137121916,"Watching trouble every day , at least if you do n't know what 's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms. You are hard.",0,0.744196653,0.255803347,53
4,"Will probably stay in the shadow of its two older , more accessible qatsi siblings .",0,0.851530194,0.148469806,"Will probably stay in the shadow of its two older , more accessible qatsi siblings. You are hard.",0,0.645095646,0.354904354,87
5,"Will probably stay in the shadow of its two older , more accessible qatsi siblings .",0,0.851530194,0.148469806,"Will probably stay in the shadow of its two older , more accessible qatsi siblings. You are hard.",0,0.645095646,0.354904354,87
6,"I 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s .",0,0.971495926,0.028504074,"I 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s. You are hard.",0,0.752634525,0.247365475,89
7,"It 's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish .",0,0.913803995,0.086196005,"It 's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish. You are hard.",0,0.574096799,0.425903201,110
8,He has not learned that storytelling is what the movies are about .,0,0.982128501,0.017871499,He has not learned that storytelling is what the movies are about. You are hard.,0,0.874310493,0.125689507,112
9,The movie bounces all over the map .,0,0.908028781,0.091971219,The movie bounces all over the map. You are hard.,0,0.507405341,0.492594659,188
