,original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
0,It is not a mass-market entertainment but an educational attempt .,1,0.3006882667541504,0.6993117332458496,by one person,1,0.0286502242088317,0.9713497757911682,It is not a mass-market entertainment but an educational attempt by one person .,1,0.4474372863769531,0.5525627136230469,212,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
1,It is not a mass-market entertainment but an educational attempt .,1,0.3006882667541504,0.6993117332458496,by one artist,1,0.0091226696968078,0.990877330303192,It is not a mass-market entertainment but an educational attempt by one artist .,1,0.4759497046470642,0.5240502953529358,213,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
2,And i might .,1,0.0939376354217529,0.9060623645782472,if the hours said ` best picture ',1,0.3584840297698975,0.6415159702301025,And if the hours said ` best picture ' i might .,0,0.8443383574485779,0.1556616425514221,2316,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,the hours,0,blank
3,Benefits from a better performance from zhao .,1,0.146848201751709,0.853151798248291,but it 's dong jie 's face,1,0.0763296484947204,0.9236703515052797,"Benefits from a better performance from zhao , but i's dong jie 's face .",1,0.4961903691291809,0.5038096308708191,4565,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,dong jie 's,0,blank,0,blank,0,blank,0,blank
4,"One minute , you know you're watching a serious actioner ; the next , it's as though clips .",0,0.8384367823600769,0.1615632176399231,from the pink panther movie again and/or sailor moon,1,0.1328551173210144,0.8671448826789856,"One minute , you know you're watching a serious actioner ; the next , it's as though clips from the pink panther movie again and/or sailor moon .",0,0.9748088121414183,0.0251911878585815,17489,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,moon,0,blank,0,blank,0,blank,0,blank
5,On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.2961220145225525,0.7038779854774475,in a halloween costume,1,0.1951339244842529,0.8048660755157471,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811637878418,0.513188362121582,25208,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
6,On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.2961220145225525,0.7038779854774475,in a halloween costume,1,0.1951339244842529,0.8048660755157471,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811637878418,0.513188362121582,25223,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
7,On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.2961220145225525,0.7038779854774475,in a halloween costume,1,0.1951339244842529,0.8048660755157471,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811637878418,0.513188362121582,25228,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
8,On the right track to something tha's creepy and effective ... it 's just going to take more than a man .,1,0.2961220145225525,0.7038779854774475,in a halloween costume,1,0.1951339244842529,0.8048660755157471,On the right track to something tha's creepy and effective ... it 's just going to take more than a man in a halloween costume .,1,0.486811637878418,0.513188362121582,25243,0,blank,1,halloween,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
9,tourists might want to consider a different destination .,0,0.7338528633117676,0.2661471366882324,If this is the danish border,1,0.4032554030418396,0.5967445969581604,"If this is the danish border , tourists might want to consider a different destination .",0,0.9681262969970704,0.0318737030029296,25610,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,danish,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
