context,origin,origin_ans,new,new_ans,answers,origin_result,result,coordination,causality,hypothesis,ref
"The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]. Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?] In modern times, some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met, such as favorable bail conditions, or the release of all the activists. This is a form of jail solidarity.[page needed] There have also been many instances of solitary civil disobedience, such as that committed by Thoreau, but these sometimes go unnoticed. Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened. The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",Since Thoreau was not a well known writer what happened when he was arrested ?,"Thoreau's arrest was not covered in any newspapers in the days, weeks, and months after it happened.",Since Thoreau was not a good known writer what happened when he was nabbed ?,Thoreau's arrest went unnoticed due to his lack of fame as a writer at that time.,"['was not covered in any newspapers', 'was not covered in any newspapers in the days, weeks and months after it happened.', 'his arrest was not covered in any newspapers', 'his arrest was not covered in any newspapers in the days, weeks and months after it happened', 'his arrest was not covered in any newspapers']",1,0,0,0,1,
"""The 1973 oil crisis began in October 1973 when the members of the Organization of Arab Petroleum Exporting Countries (OAPEC, consisting of the Arab members of OPEC plus Egypt and Syria) proclaimed an oil embargo. By the end of the embargo in March 1974, the price of oil had risen from US$3 per barrel to nearly $12 globally; US prices were significantly higher. The embargo caused an oil crisis, or """"shock"""", with many short- and long-term effects on global politics and the global economy. It was later called the """"first oil shock"""", followed by the 1979 oil crisis, termed the """"second oil shock.""""""",What was another term used for the oil crisis ?,"The oil crisis was also called the ""first oil shock.""",What was another term used for the petroleum crisis ?,No answer.,"['first oil shock', 'shock', 'shock', 'first oil shock', 'shock']",1,0,0,0,0,
"Although the reciprocating steam engine is no longer in widespread commercial use, various companies are exploring or exploiting the potential of the engine as an alternative to internal combustion engines. The company Energiprojekt AB in Sweden has made progress in using modern materials for harnessing the power of steam. The efficiency of Energiprojekt's steam engine reaches some 27-30% on high-pressure engines. It is a single-step, 5-cylinder engine (no compound) with superheated steam and consumes approx. 4 kg (8.8 lb) of steam per kWh.[not in citation given]",What modern company has been notably working on a steam engine using modern materials ?,Energiprojekt AB.,What Modern company has been notably working on a steam engine ?,Energiprojekt AB.,"['Energiprojekt AB', 'Energiprojekt AB', 'Energiprojekt AB']",1,0,0,0,0,
"A B cell identifies pathogens when antibodies on its surface bind to a specific foreign antigen. This antigen/antibody complex is taken up by the B cell and processed by proteolysis into peptides. The B cell then displays these antigenic peptides on its surface MHC class II molecules. This combination of MHC and antigen attracts a matching helper T cell, which releases lymphokines and activates the B cell. As the activated B cell then begins to divide, its offspring (plasma cells) secrete millions of copies of the antibody that recognizes this antigen. These antibodies circulate in blood plasma and lymph, bind to pathogens expressing the antigen and mark them for destruction by complement activation or for uptake and destruction by phagocytes. Antibodies can also neutralize challenges directly, by binding to bacterial toxins or by interfering with the receptors that viruses and bacteria use to infect cells.",What kind of cell identifies pathogens when the antibodies on its surface complex with a specific foreign antigen ?,B cell.,What kind of cell identifies pathogens when the antibodies on its surface complex ?,B cell.,"['B cell', 'B', 'A B cell']",1,0,0,0,1,
"This means that in a closed system of particles, there are no internal forces that are unbalanced. That is, the action-reaction force shared between any two objects in a closed system will not cause the center of mass of the system to accelerate. The constituent objects only accelerate with respect to each other, the system itself remains unaccelerated. Alternatively, if an external force acts on the system, then the center of mass will experience an acceleration proportional to the magnitude of the external force divided by the mass of the system.:19-1",What is the magnitude of force divided by when external force is added ?,The external force is divided by the mass of the system.,What is the magnitude of force divided by when external power is added ?,There is no mention of external power in the given text.,"['mass of the system', 'mass of the system', 'the mass of the system', 'the mass of the system', 'mass of the system']",1,0,0,0,1,
"""Citizenship of the EU has increasingly been seen as a """"fundamental"""" status of member state nationals by the Court of Justice, and has accordingly increased the number of social services that people can access wherever they move. The Court has required that higher education, along with other forms of vocational training, should be more access, albeit with qualifying periods. In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid """"structural, staffing and financial problems"""" if (mainly German) foreign students applied for places because there was little evidence of an actual problem.""",In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students ?,The Court stated that Austria was not allowed to restrict places in Austrian universities to Austrian students in the case of Commission v Austria.,In which example did the Court state that Austria was not allowed to give places in Austrian schools exclusively for Austrian students ?,"I apologize for the confusion in my previous response. After reviewing the given text, there is no specific example mentioned about the Court stating that Austria was not allowed to give places in Austrian schools exclusively for Austrian students.","['Commission v Austria', 'Commission v Austria the Court', 'Commission v Austria']",1,0,0,0,0,
"The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]. Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?] In modern times, some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met, such as favorable bail conditions, or the release of all the activists. This is a form of jail solidarity.[page needed] There have also been many instances of solitary civil disobedience, such as that committed by Thoreau, but these sometimes go unnoticed. Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened. The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",Since Thoreau was not a well known writer what happened when he was arrested ?,"Thoreau's arrest was not covered in any newspapers in the days, weeks, and months after it happened.",Since Thoreau was not a good known writer what happened when he was caught ?,"The text does not provide information on what specifically happened when Thoreau was caught, as it was not covered in newspapers at the time.","['was not covered in any newspapers', 'was not covered in any newspapers in the days, weeks and months after it happened.', 'his arrest was not covered in any newspapers', 'his arrest was not covered in any newspapers in the days, weeks and months after it happened', 'his arrest was not covered in any newspapers']",1,0,0,0,1,
"Neoclassical economics views inequalities in the distribution of income as arising from differences in value added by labor, capital and land. Within labor income distribution is due to differences in value added by different classifications of workers. In this perspective, wages and profits are determined by the marginal value added of each economic actor (worker, capitalist/business owner, landlord). Thus, in a market economy, inequality is a reflection of the productivity gap between highly-paid professions and lower-paid professions.",What is distribution of income from labor due to the differences of ?,The distribution of income from labor is due to differences in value added by different classifications of workers.,What is distribution of income from Labor due to the conflicts of ?,There is no mention of conflicts in the text related to the distribution of income from labor.,"['value added by different classifications of workers', 'value added by labor, capital and land', 'value added']",1,0,0,0,0,
"Civil disobedience is usually defined as pertaining to a citizen's relation to the state and its laws, as distinguished from a constitutional impasse in which two public agencies, especially two equally sovereign branches of government, conflict. For instance, if the head of government of a country were to refuse to enforce a decision of that country's highest court, it would not be civil disobedience, since the head of government would be acting in her or his capacity as public official rather than private citizen.",If the head of government refuses to enforce a decision of the highest court what terminology could be used ?,The terminology that could be used in this scenario is a constitutional impasse.,If the head of government deny to enforce a decision of the highest court what terminology could be used ?,"If the head of government denies to enforce a decision of the highest court, the terminology that could be used is executive defiance or executive disregard of judicial authority.","['constitutional impasse', 'her or his capacity as public official', 'capacity as public official', 'constitutional impasse']",1,0,0,0,0,
"""Newton's First Law of Motion states that objects continue to move in a state of constant velocity unless acted upon by an external net force or resultant force. This law is an extension of Galileo's insight that constant velocity was associated with a lack of net force (see a more detailed description of this below). Newton proposed that every object with mass has an innate inertia that functions as the fundamental equilibrium """"natural state"""" in place of the Aristotelian idea of the """"natural state of rest"""". That is, the first law contradicts the intuitive Aristotelian belief that a net force is required to keep an object moving with constant velocity. By making rest physically indistinguishable from non-zero constant velocity, Newton's First Law directly connects inertia with the concept of relative velocities. Specifically, in systems where objects are moving with different velocities, it is impossible to determine which object is """"in motion"""" and which object is """"at rest"""". In other words, to phrase matters more technically, the laws of physics are the same in every inertial frame of reference, that is, in all frames related by a Galilean transformation.""","Whose First Law of Motion says that unless acted upon be forces , objects would continue to move at a constant velocity ?",Newton's First Law of Motion.,"Whose First Law of Motion says that unless acted upon be forces , objects would continue to move at a incessant velocity ?",No Answer.,"""['Newton', """"Newton's"""", """"Newton's"""", """"Newton's"""", """"Newton's""""]""",1,0,0,0,1,
