s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
A candid and often enthralling documentary about a pentecostal church in dallas . ,that assembles an elaborate haunted mansion each year to scare teenagers into attending services ,A candid and often enthralling documentary about a pentecostal church in dallas that assembles an elaborate haunted mansion each year to scare teenagers into attending services .,positive,0.9,neutral,0,neutral,0.1,1,4,0,blank,1,each year,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Another big , dumb activity movie in the vein of XXX , the transporter is riddled with plot holes big enough for its titular Hero . ",to drive his sleek dark bmw through ,"Another big , dumb activity movie in the vein of XXX , the transporter is riddled with plot holes big enough for its titular Hero to drive his sleek dark bmw through .",negative,-0.7,neutral,0,negative,-0.8,1,8,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,bmw,0,blank,0,blank,0,blank
This is a startling film . ,"that gives you a fascinating , albeit depressing view of iranian rural lifetime close ","This is a startling film that gives you a fascinating , albeit depressing view of iranian rural lifetime close .",positive,0.9,neutral,0.1,neutral,0.2,0,11,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,iranian,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An fascinating , playful film that perpetually frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way . ",that derrida would doubtless give his thanksgiving to ,"An fascinating , playful film that perpetually frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way that derrida would doubtless give his thanksgiving to .",positive,0.9,neutral,0,neutral,0.1,1,12,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Another large , dumb action film in the vein of xxx , the transporter is riddled with plot holes great enough for its titular hero . ",to ride his sleek black bmw through ,"Another large , dumb action film in the vein of xxx , the transporter is riddled with plot holes great enough for its titular hero to ride his sleek black bmw through .",negative,-0.7,neutral,0.1,negative,-0.8,0,18,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,bmw,0,blank,0,blank,0,blank
"An captivating , playful film that constantly frustrate our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way . ",that derrida would doubtless give his grace to ,"An captivating , playful film that constantly frustrate our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way that derrida would doubtless give his grace to .",positive,0.9,neutral,0,positive,0.8,1,19,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
he should just stick with austin and dr evil . ,If myers decides to take another austin powers movie ,"If myers decides to take another austin powers movie , he should just stick with austin and dr evil .",negative,-0.6,neutral,0,negative,-0.8,1,63,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,2,"blank,austin",0,blank,0,blank,0,blank,0,blank
"An entrancing , playful film that forever frustrates our desire to love the ` truth ' about this Man , while deconstructing the very format of the biography in a way . ",that derrida would doubtless give his thanksgiving to ,"An entrancing , playful film that forever frustrates our desire to love the ` truth ' about this Man , while deconstructing the very format of the biography in a way that derrida would doubtless give his thanksgiving to .",positive,0.7,neutral,0,positive,0.5,1,80,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An fascinating , playful film that perpetually frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way . ",that derrida would doubtlessly give his blessing to ,"An fascinating , playful film that perpetually frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way that derrida would doubtlessly give his blessing to .",positive,0.9,positive,0.7,positive,0.8,0,109,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An entrancing , playful film that forever frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtlessly give his blessing to ,"An entrancing , playful film that forever frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way that derrida would doubtlessly give his blessing to .",negative,-0.6,positive,0.8,negative,-0.7,0,122,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
