q1,q2,ori, gpt,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
Should I quit my first job ? ,Should I quit my first job after two years ?,0,N,0,,1,two years,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Is there any cab service here that is pick and drop service at london Victoria ? ,Is there any cab service here that is pick and drop service at london Victoria to Brighton ?,0,N,0,,0,,0,,0,,1,Brighton,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are the four majors in terms of the prospects and what are the majors at Lee University ? ,What are the four majors in terms of the prospects and what are the two majors at Lee University ?,0,N,1,two,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mahabharata ( the epic ) : If Krishna saw his ' ' Vishwaroopam ' ' , how were Veda Vyasa , Sanjay and Dritarashtra able to see that too ? ","Mahabharata ( the epic ) : If Krishna saw his ' ' Vishwaroopam ' ' to Arjun alone , how were Veda Vyasa , Sanjay and Dritarashtra able to see that too ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Arjun,0,,0,,0,,0,
"What is the Arizona bark scorpion , and how do that species ? ","What is the Arizona bark scorpion , and how do that species in the Sonoran Desert ?",0,N,0,,0,,0,,0,,0,,0,,0,,1,the Sonoran Desert,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is your opinion on the O ' Keefe case ? ,What is your opinion on the O ' Keefe case exposing the DNC inciting violence against Trump supporters ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,DNC,0,,1,Trump,0,,0,,0,,0,
What is the best email subject line ? ,"What is the best email subject line you have received from Snapdeal , Flipkart or Amazon or any other web site ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,"Snapdeal,Flipkart,Amazon",0,,0,,0,,0,,0,,0,
What would be the effect on India if Donald Trump suddenly becomes the president ? ,What would be the effect on India if Donald Trump suddenly becomes the president of US ?,0,N,0,,0,,0,,0,,1,US,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"What was life like in Rome after the fall of the Western wall in 476 , during the Ostrogothic occupation ? ","What was life like in Rome after the fall of the Western wall in 476 , during the Ostrogothic occupation , when the Byzantines conquered the city in the mid sixth century ?",0,N,0,,1,the mid sixth century,0,,0,,0,,0,,0,,0,,0,,1,Byzantines,0,,0,,0,,0,,0,,0,,0,,0,
Which exam will be conducted for medical entrance ? ,Which exam will be conducted for medical entrance in 2017 ?,0,N,0,,1,2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
