original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,sent_id,insert_id,group_no
This film's relationship to real tension is the same as what christmas-tree flocking in a spraying can is to actual snow : a pitiful .,0,0.9387300610542297,0.06127002090215683,if indestructible,0,0.1670228093862534,0.8329772353172302,This film's relationship to real tension is the same as what christmas-tree flocking in a spraying can is to actual snow : a pitiful -- if indestructible .,0,0.8134167790412903,0.1865832358598709,34,1,t3,12
This film's relationship to real tension is the same as what christmas-tree flocking in a sprayer can is to actual snow : a pitiful .,0,0.9447717070579529,0.05522831529378891,if indestructible,0,0.1670228093862534,0.8329772353172302,This film's relationship to real tension is the same as what christmas-tree flocking in a sprayer can is to actual snow : a pitiful -- if indestructible .,0,0.8146078586578369,0.1853920966386795,44,1,t3,17
"By the ending of no such thing the audience , has a affection .",1,0.6981768608093262,0.3018231391906738,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the ending of no such thing the audience , like Beatrice , has a affection .",1,0.4247739613056183,0.5752260088920593,112,2,t1,70
"By the last of no such thing the audience , has a affection .",1,0.7938443422317505,0.2061556726694107,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the last of no such thing the audience , like Beatrice , has a affection .",1,0.370052844285965,0.6299471259117126,113,2,t1,71
"By the close of no such thing the audience , has a affection .",1,0.8278837203979492,0.1721162348985672,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the close of no such thing the audience , like Beatrice , has a affection .",1,0.4165246486663818,0.5834753513336182,114,2,t1,72
"By the closing of no such thing the audience , has a affection .",1,0.6988177299499512,0.3011822402477264,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the closing of no such thing the audience , like Beatrice , has a affection .",1,0.3505207300186157,0.6494792699813843,115,2,t1,73
"By the end of no such matter the audience , has a affection .",1,0.7696622610092163,0.2303377836942673,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the end of no such matter the audience , like Beatrice , has a affection .",1,0.4683949947357178,0.5316050052642822,116,2,t1,74
"By the ending of no such thing the audience , like Beatrice , has a affection .",1,0.4247739613056183,0.5752260088920593,watchful,0,0.5630863904953003,0.4369135797023773,"By the ending of no such thing the audience , like Beatrice , has a watchful affection .",1,0.2144882529973984,0.7855117321014404,117,2,t2,75
"By the close of no such thing the audience , like Beatrice , has a affection .",1,0.4165246486663818,0.5834753513336182,watchful,0,0.5630863904953003,0.4369135797023773,"By the close of no such thing the audience , like Beatrice , has a watchful affection .",1,0.196125790476799,0.8038741946220398,119,2,t2,77
"By the closing of no such thing the audience , like Beatrice , has a affection .",1,0.3505207300186157,0.6494792699813843,watchful,0,0.5630863904953003,0.4369135797023773,"By the closing of no such thing the audience , like Beatrice , has a watchful affection .",1,0.149412527680397,0.8505874872207642,120,2,t2,78
"By the end of no such matter the audience , like Beatrice , has a affection .",1,0.4683949947357178,0.5316050052642822,watchful,0,0.5630863904953003,0.4369135797023773,"By the end of no such matter the audience , like Beatrice , has a watchful affection .",1,0.1818793118000031,0.8181207180023193,121,2,t2,79
"By the ending of no such thing the audience , like Beatrice , has a watchful affection .",1,0.2144882529973984,0.7855117321014404,for the giant,1,0.8842143416404724,0.1157856360077858,"By the ending of no such thing the audience , like Beatrice , has a watchful affection for the giant .",1,0.3503715395927429,0.6496284604072571,123,2,t3,80
"By the closing of no such thing the audience , like Beatrice , has a watchful affection .",1,0.149412527680397,0.8505874872207642,for the giant,1,0.8842143416404724,0.1157856360077858,"By the closing of no such thing the audience , like Beatrice , has a watchful affection for the giant .",1,0.2650875151157379,0.7349124550819397,138,2,t3,83
"By the end of no such matter the audience , like Beatrice , has a watchful affection .",1,0.1818793118000031,0.8181207180023193,for the giant,1,0.8842143416404724,0.1157856360077858,"By the end of no such matter the audience , like Beatrice , has a watchful affection for the giant .",1,0.3708808422088623,0.6291191577911377,143,2,t3,84
Lathan and diggs have charm .,0,0.6536141633987427,0.3463858067989349,considerable personal,1,0.7647022604942322,0.235297679901123,Lathan and diggs have considerable personal charm .,0,0.7809498310089111,0.2190501242876053,147,4,t0,85
Lathan and diggs have considerable personal charm .,0,0.7809498310089111,0.2190501242876053,and their screen rapport makes the old story seem new,0,0.4818952083587646,0.5181047916412354,"Lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new .",0,0.5439450740814209,0.4560548663139343,148,4,t1,86
Lathan and diggs have considerable personal charm .,0,0.7809498310089111,0.2190501242876053,and their screen rapport produces the old story seem new,0,0.6287657618522644,0.371234267950058,"Lathan and diggs have considerable personal charm , and their screen rapport produces the old story seem new .",0,0.639919638633728,0.360080361366272,152,4,t1,86
Lathan and diggs have considerable personal charm .,0,0.7809498310089111,0.2190501242876053,and their screen rapport makes the Old story seem new,0,0.7574149966239929,0.2425850331783295,"Lathan and diggs have considerable personal charm , and their screen rapport makes the Old story seem new .",0,0.6424079537391663,0.3575920760631561,154,4,t1,86
Lathan and diggs have considerable personal charm .,0,0.7809498310089111,0.2190501242876053,and their screen rapport makes the old narrative seem new,0,0.4857652187347412,0.5142347812652588,"Lathan and diggs have considerable personal charm , and their screen rapport makes the old narrative seem new .",0,0.5581563115119934,0.4418436586856842,156,4,t1,86
Lathan and diggs have considerable personal charm .,0,0.7809498310089111,0.2190501242876053,and their screen rapport makes the old story seem New,0,0.4466167092323303,0.5533832907676697,"Lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem New .",0,0.5073484778404236,0.4926515221595764,160,4,t1,86
A well-made and lovely depiction of the mysteries of friendship .,0,0.3462624549865723,0.6537375450134277,oftentimes,1,0.568286120891571,0.4317138195037842,A well-made and oftentimes lovely depiction of the mysteries of friendship .,0,0.4837900698184967,0.5162099003791809,162,5,t0,87
"None of this violates the letter of behan's book , but missing is its spirit .",0,0.6883072853088379,0.3116927444934845,"its bawdy , full-throated humor",0,0.397750198841095,0.6022497415542603,"None of this violates the letter of behan's book , but missing is its spirit , its bawdy , full-throated humor .",0,0.4599891602993011,0.5400108098983765,164,6,t0,88
"None of this violates the letter of behan's book , but missing is its spirit .",0,0.6883072853088379,0.3116927444934845,"its ribald , full-throated humour",0,0.4119329452514648,0.5880670547485352,"None of this violates the letter of behan's book , but missing is its spirit , its ribald , full-throated humour .",0,0.517316997051239,0.4826829731464386,165,6,t0,88
"None of this violates the letter of behan's book , but missing is its spirit .",0,0.6883072853088379,0.3116927444934845,"its ribald , full-throated wit",0,0.5923532247543335,0.4076468050479889,"None of this violates the letter of behan's book , but missing is its spirit , its ribald , full-throated wit .",0,0.4830754995346069,0.5169245004653931,166,6,t0,88
"this crowd-pleaser's dialogue , are often infectious .",0,0.7135066390037537,0.2864933013916016,Although it bang a very cliched drum at times,0,0.8420977592468262,0.1579022407531738,"Although it bang a very cliched drum at times , this crowd-pleaser's dialogue , are often infectious .",1,0.506618857383728,0.4933811128139496,167,7,t0,89
It is not a mass-market entertainment .,0,0.6055210828781128,0.394478976726532,but an uncompromising effort,0,0.3481796383857727,0.6518203616142273,It is not a mass-market entertainment but an uncompromising effort .,0,0.2136413305997849,0.7863587141036987,175,8,t0,94
It is not a mass-market entertainment .,0,0.6055210828781128,0.394478976726532,but an uncompromising try,0,0.3258941471576691,0.6741058230400085,It is not a mass-market entertainment but an uncompromising try .,0,0.3837096691131592,0.6162903308868408,176,8,t0,94
It is not a mass-market entertainment .,0,0.6055210828781128,0.394478976726532,but an uncompromising attack,0,0.3237879276275635,0.6762120723724365,It is not a mass-market entertainment but an uncompromising attack .,0,0.3527171313762665,0.6472828984260559,177,8,t0,94
It is not a mass-market entertainment .,0,0.6055210828781128,0.394478976726532,but an uncompromising endeavor,0,0.1880986094474792,0.8119013905525208,It is not a mass-market entertainment but an uncompromising endeavor .,1,0.3096563220024109,0.6903436779975891,178,8,t0,94
It is not a mass-market entertainment but an uncompromising attack by one artist .,0,0.3844061195850372,0.6155939102172852,to imagine about another,0,0.6927114129066467,0.3072885274887085,It is not a mass-market entertainment but an uncompromising attack by one artist to imagine about another .,0,0.2796495258808136,0.720350444316864,202,8,t2,103
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.05668510124087334,0.9433149099349976,who resembles a actual kid,1,0.78888338804245,0.2111166417598724,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a actual kid .,1,0.2053644359111786,0.7946355938911438,213,11,t0,106
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.05668510124087334,0.9433149099349976,who resembles a real Kid,1,0.6982701420783997,0.3017298579216003,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real Kid .,1,0.1736831218004227,0.8263168931007385,214,11,t0,106
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.05668510124087334,0.9433149099349976,who resembles a real child,1,0.6930148005485535,0.3069851696491241,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real child .,1,0.232928991317749,0.767071008682251,215,11,t0,106
