original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,group_no
It is not a mass-market entertainment but an educational attempt .,1,0.3006882667541504,0.6993117332458496,by one person,1,0.02865022420883179,0.9713497757911682,It is not a mass-market entertainment but an educational attempt by one person .,1,0.4474372863769531,0.5525627136230469,212,1
It is not a mass-market entertainment but an educational attempt .,1,0.3006882667541504,0.6993117332458496,by one artist,1,0.009122669696807861,0.9908773303031921,It is not a mass-market entertainment but an educational attempt by one artist .,1,0.4759497046470642,0.5240502953529358,213,1
It is not a mass-market entertainment but an uncompromising attempt by one artist .,1,0.02845996618270874,0.9715400338172913,to write about another,1,0.1983942985534668,0.8016057014465332,It is not a mass-market entertainment but an uncompromising attempt by one artist to write about another .,1,0.1740424036979675,0.8259575963020325,236,2
This is a film .,1,0.02387881278991699,0.976121187210083,bollywood,1,0.1025147438049316,0.8974852561950684,This is a bollywood film .,1,0.1645240187644958,0.8354759812355042,974,3
Here's a chick flick gleefully unconcerned .,0,0.8034384846687317,0.1965615153312683,with plausibility,1,0.006042122840881348,0.9939578771591187,Here's a chick flick gleefully unconcerned with plausibility .,0,0.9719008207321167,0.0280991792678833,1072,4
Here's a british flick gleefully unconcerned .,1,0.1694378256797791,0.830562174320221,with plausibility,1,0.006042122840881348,0.9939578771591187,Here's a british flick gleefully unconcerned with plausibility .,0,0.9312111735343933,0.06878882646560669,1075,5
a few movies explore religion that it's like to see one reduce it to an idea .,1,0.2663690447807312,0.7336309552192688,that comes in a sampler,1,0.2174403667449951,0.7825596332550049,a few movies explore religion that it's like to see one reduce it to an idea that comes in a sampler .,0,0.8973662257194519,0.1026337742805481,1154,6
a few movies explore religion that it's like to see one reduce it to an idea .,1,0.2663690447807312,0.7336309552192688,that fits in a sampler,1,0.02641761302947998,0.97358238697052,a few movies explore religion that it's like to see one reduce it to an idea that fits in a sampler .,0,0.8113753795623779,0.1886246204376221,1156,6
a few movies explore religion that it's like to see one reduce it to an idea .,1,0.2663690447807312,0.7336309552192688,that fits in a sampler,1,0.02641761302947998,0.97358238697052,a few movies explore religion that it's like to see one reduce it to an idea that fits in a sampler .,0,0.8113753795623779,0.1886246204376221,1157,6
And i might .,1,0.09393763542175293,0.9060623645782471,if the hours said ` best picture ',1,0.3584840297698975,0.6415159702301025,And if the hours said ` best picture ' i might .,0,0.8443383574485779,0.1556616425514221,2316,7
the camera looks there is something .,1,0.00477975606918335,0.9952202439308167,if,1,0.1602990031242371,0.8397009968757629,if the camera looks there is something .,1,0.3785023093223572,0.6214976906776428,3359,8
the camera looks there is something .,1,0.00477975606918335,0.9952202439308167,everywhere,1,0.2235367894172668,0.7764632105827332,everywhere the camera looks there is something .,0,0.9337038397789001,0.06629616022109985,3360,8
the camera looks there is something .,1,0.00477975606918335,0.9952202439308167,Everywhere,1,0.1887496709823608,0.8112503290176392,Everywhere the camera looks there is something .,0,0.5267719626426697,0.4732280373573303,3361,8
