context,origin,origin_ans,new,new_ans,answers,origin_result,result,CARDINAL,CARDINAL_text,CARDINAL_start_end_error,DATE,DATE_text,DATE_start_end_error,EVENT,EVENT_text,EVENT_start_end_error,FAC,FAC_text,FAC_start_end_error,GPE,GPE_text,GPE_start_end_error,LANGUAGE,LANGUAGE_text,LANGUAGE_start_end_error,LAW,LAW_text,LAW_start_end_error,LOC,LOC_text,LOC_start_end_error,MONEY,MONEY_text,MONEY_start_end_error,NORP,NORP_text,NORP_start_end_error,ORDINAL,ORDINAL_text,ORDINAL_start_end_error,ORG,ORG_text,ORG_start_end_error,PERCENT,PERCENT_text,PERCENT_start_end_error,PERSON,PERSON_text,PERSON_start_end_error,PRODUCT,PRODUCT_text,PRODUCT_start_end_error,QUANTITY,QUANTITY_text,QUANTITY_start_end_error,TIME,TIME_text,TIME_start_end_error,WORK_OF_ART,WORK_OF_ART_text,WORK_OF_ART_start_end_error,answers
"The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]. Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?] In modern times, some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met, such as favorable bail conditions, or the release of all the activists. This is a form of jail solidarity.[page needed] There have also been many instances of solitary civil disobedience, such as that committed by Thoreau, but these sometimes go unnoticed. Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened. The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",Since Thoreau was not a well known writer what happened when he was arrested ?,"Thoreau's arrest was not covered in any newspapers in the days, weeks, and months after it happened.",Since Thoreau was not a good known writer what happened when he was nabbed ?,Thoreau's arrest went unnoticed due to his lack of fame as a writer at that time.,"['was not covered in any newspapers', 'was not covered in any newspapers in the days, weeks and months after it happened.', 'his arrest was not covered in any newspapers', 'his arrest was not covered in any newspapers in the days, weeks and months after it happened', 'his arrest was not covered in any newspapers']",1,0,0,,0,3,the days|weeks|months,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,"was not covered in any newspapers in the days, weeks and months after it happened."
"The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]. Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?] In modern times, some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met, such as favorable bail conditions, or the release of all the activists. This is a form of jail solidarity.[page needed] There have also been many instances of solitary civil disobedience, such as that committed by Thoreau, but these sometimes go unnoticed. Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened. The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",Since Thoreau was not a well known writer what happened when he was arrested ?,"Thoreau's arrest was not covered in any newspapers in the days, weeks, and months after it happened.",Since Thoreau was not a good known writer what happened when he was nabbed ?,Thoreau's arrest went unnoticed due to his lack of fame as a writer at that time.,"['was not covered in any newspapers', 'was not covered in any newspapers in the days, weeks and months after it happened.', 'his arrest was not covered in any newspapers', 'his arrest was not covered in any newspapers in the days, weeks and months after it happened', 'his arrest was not covered in any newspapers']",1,0,0,,0,6,the days|weeks|months|the days|weeks|months,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,"his arrest was not covered in any newspapers in the days, weeks and months after it happened"
"""The 1973 oil crisis began in October 1973 when the members of the Organization of Arab Petroleum Exporting Countries (OAPEC, consisting of the Arab members of OPEC plus Egypt and Syria) proclaimed an oil embargo. By the end of the embargo in March 1974, the price of oil had risen from US$3 per barrel to nearly $12 globally; US prices were significantly higher. The embargo caused an oil crisis, or """"shock"""", with many short- and long-term effects on global politics and the global economy. It was later called the """"first oil shock"""", followed by the 1979 oil crisis, termed the """"second oil shock.""""""",What was another term used for the oil crisis ?,"The oil crisis was also called the ""first oil shock.""",What was another term used for the petroleum crisis ?,No answer.,"['first oil shock', 'shock', 'shock', 'first oil shock', 'shock']",1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,first,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,first oil shock
"""The 1973 oil crisis began in October 1973 when the members of the Organization of Arab Petroleum Exporting Countries (OAPEC, consisting of the Arab members of OPEC plus Egypt and Syria) proclaimed an oil embargo. By the end of the embargo in March 1974, the price of oil had risen from US$3 per barrel to nearly $12 globally; US prices were significantly higher. The embargo caused an oil crisis, or """"shock"""", with many short- and long-term effects on global politics and the global economy. It was later called the """"first oil shock"""", followed by the 1979 oil crisis, termed the """"second oil shock.""""""",What was another term used for the oil crisis ?,"The oil crisis was also called the ""first oil shock.""",What was another term used for the petroleum crisis ?,No answer.,"['first oil shock', 'shock', 'shock', 'first oil shock', 'shock']",1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,2,first|first,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,first oil shock
"""Citizenship of the EU has increasingly been seen as a """"fundamental"""" status of member state nationals by the Court of Justice, and has accordingly increased the number of social services that people can access wherever they move. The Court has required that higher education, along with other forms of vocational training, should be more access, albeit with qualifying periods. In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid """"structural, staffing and financial problems"""" if (mainly German) foreign students applied for places because there was little evidence of an actual problem.""",In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students ?,The Court stated that Austria was not allowed to restrict places in Austrian universities to Austrian students in the case of Commission v Austria.,In which example did the Court state that Austria was not allowed to give places in Austrian schools exclusively for Austrian students ?,"I apologize for the confusion in my previous response. After reviewing the given text, there is no specific example mentioned about the Court stating that Austria was not allowed to give places in Austrian schools exclusively for Austrian students.","['Commission v Austria', 'Commission v Austria the Court', 'Commission v Austria']",1,0,0,,0,0,,0,0,,0,0,,0,1,Austria,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,Commission v Austria
"""Citizenship of the EU has increasingly been seen as a """"fundamental"""" status of member state nationals by the Court of Justice, and has accordingly increased the number of social services that people can access wherever they move. The Court has required that higher education, along with other forms of vocational training, should be more access, albeit with qualifying periods. In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid """"structural, staffing and financial problems"""" if (mainly German) foreign students applied for places because there was little evidence of an actual problem.""",In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students ?,The Court stated that Austria was not allowed to restrict places in Austrian universities to Austrian students in the case of Commission v Austria.,In which example did the Court state that Austria was not allowed to give places in Austrian schools exclusively for Austrian students ?,"I apologize for the confusion in my previous response. After reviewing the given text, there is no specific example mentioned about the Court stating that Austria was not allowed to give places in Austrian schools exclusively for Austrian students.","['Commission v Austria', 'Commission v Austria the Court', 'Commission v Austria']",1,0,0,,0,0,,0,0,,0,0,,0,2,Austria|Austria,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,Court,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,Commission v Austria the Court
"""Citizenship of the EU has increasingly been seen as a """"fundamental"""" status of member state nationals by the Court of Justice, and has accordingly increased the number of social services that people can access wherever they move. The Court has required that higher education, along with other forms of vocational training, should be more access, albeit with qualifying periods. In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid """"structural, staffing and financial problems"""" if (mainly German) foreign students applied for places because there was little evidence of an actual problem.""",In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students ?,The Court stated that Austria was not allowed to restrict places in Austrian universities to Austrian students in the case of Commission v Austria.,In which example did the Court state that Austria was not allowed to give places in Austrian schools exclusively for Austrian students ?,"I apologize for the confusion in my previous response. After reviewing the given text, there is no specific example mentioned about the Court stating that Austria was not allowed to give places in Austrian schools exclusively for Austrian students.","['Commission v Austria', 'Commission v Austria the Court', 'Commission v Austria']",1,0,0,,0,0,,0,0,,0,0,,0,3,Austria|Austria|Austria,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,Court,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,Commission v Austria
"The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]. Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?] In modern times, some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met, such as favorable bail conditions, or the release of all the activists. This is a form of jail solidarity.[page needed] There have also been many instances of solitary civil disobedience, such as that committed by Thoreau, but these sometimes go unnoticed. Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened. The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",Since Thoreau was not a well known writer what happened when he was arrested ?,"Thoreau's arrest was not covered in any newspapers in the days, weeks, and months after it happened.",Since Thoreau was not a good known writer what happened when he was caught ?,"The text does not provide information on what specifically happened when Thoreau was caught, as it was not covered in newspapers at the time.","['was not covered in any newspapers', 'was not covered in any newspapers in the days, weeks and months after it happened.', 'his arrest was not covered in any newspapers', 'his arrest was not covered in any newspapers in the days, weeks and months after it happened', 'his arrest was not covered in any newspapers']",1,0,0,,0,3,the days|weeks|months,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,"was not covered in any newspapers in the days, weeks and months after it happened."
"The earliest recorded incidents of collective civil disobedience took place during the Roman Empire[citation needed]. Unarmed Jews gathered in the streets to prevent the installation of pagan images in the Temple in Jerusalem.[citation needed][original research?] In modern times, some activists who commit civil disobedience as a group collectively refuse to sign bail until certain demands are met, such as favorable bail conditions, or the release of all the activists. This is a form of jail solidarity.[page needed] There have also been many instances of solitary civil disobedience, such as that committed by Thoreau, but these sometimes go unnoticed. Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened. The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.",Since Thoreau was not a well known writer what happened when he was arrested ?,"Thoreau's arrest was not covered in any newspapers in the days, weeks, and months after it happened.",Since Thoreau was not a good known writer what happened when he was caught ?,"The text does not provide information on what specifically happened when Thoreau was caught, as it was not covered in newspapers at the time.","['was not covered in any newspapers', 'was not covered in any newspapers in the days, weeks and months after it happened.', 'his arrest was not covered in any newspapers', 'his arrest was not covered in any newspapers in the days, weeks and months after it happened', 'his arrest was not covered in any newspapers']",1,0,0,,0,6,the days|weeks|months|the days|weeks|months,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,"his arrest was not covered in any newspapers in the days, weeks and months after it happened"
"""Newton's First Law of Motion states that objects continue to move in a state of constant velocity unless acted upon by an external net force or resultant force. This law is an extension of Galileo's insight that constant velocity was associated with a lack of net force (see a more detailed description of this below). Newton proposed that every object with mass has an innate inertia that functions as the fundamental equilibrium """"natural state"""" in place of the Aristotelian idea of the """"natural state of rest"""". That is, the first law contradicts the intuitive Aristotelian belief that a net force is required to keep an object moving with constant velocity. By making rest physically indistinguishable from non-zero constant velocity, Newton's First Law directly connects inertia with the concept of relative velocities. Specifically, in systems where objects are moving with different velocities, it is impossible to determine which object is """"in motion"""" and which object is """"at rest"""". In other words, to phrase matters more technically, the laws of physics are the same in every inertial frame of reference, that is, in all frames related by a Galilean transformation.""","Whose First Law of Motion says that unless acted upon be forces , objects would continue to move at a constant velocity ?",Newton's First Law of Motion.,"Whose First Law of Motion says that unless acted upon be forces , objects would continue to move at a incessant velocity ?",No Answer.,"['Newton', ""Newton's"", ""Newton's"", ""Newton's"", ""Newton's""]",1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,Newton,0,0,,0,0,,0,0,,0,0,,0,Newton
