context,origin,origin_ans,new,new_ans,answers,origin_result,result,origin_token,replaced_token
"""The 1973 oil crisis began in October 1973 when the members of the Organization of Arab Petroleum Exporting Countries (OAPEC, consisting of the Arab members of OPEC plus Egypt and Syria) proclaimed an oil embargo. By the end of the embargo in March 1974, the price of oil had risen from US$3 per barrel to nearly $12 globally; US prices were significantly higher. The embargo caused an oil crisis, or """"shock"""", with many short- and long-term effects on global politics and the global economy. It was later called the """"first oil shock"""", followed by the 1979 oil crisis, termed the """"second oil shock.""""""",What was another term used for the oil crisis ?,"The oil crisis was also called the ""first oil shock.""",What was another term used for the petroleum crisis ?,No answer.,"['first oil shock', 'shock', 'shock', 'first oil shock', 'shock']",1,0,oil,petroleum
"This means that in a closed system of particles, there are no internal forces that are unbalanced. That is, the action-reaction force shared between any two objects in a closed system will not cause the center of mass of the system to accelerate. The constituent objects only accelerate with respect to each other, the system itself remains unaccelerated. Alternatively, if an external force acts on the system, then the center of mass will experience an acceleration proportional to the magnitude of the external force divided by the mass of the system.:19-1",What is the magnitude of force divided by when external force is added ?,The external force is divided by the mass of the system.,What is the magnitude of force divided by when external power is added ?,There is no mention of external power in the given text.,"['mass of the system', 'mass of the system', 'the mass of the system', 'the mass of the system', 'mass of the system']",1,0,force,power
"Civil disobedience is usually defined as pertaining to a citizen's relation to the state and its laws, as distinguished from a constitutional impasse in which two public agencies, especially two equally sovereign branches of government, conflict. For instance, if the head of government of a country were to refuse to enforce a decision of that country's highest court, it would not be civil disobedience, since the head of government would be acting in her or his capacity as public official rather than private citizen.",If the head of government refuses to enforce a decision of the highest court what terminology could be used ?,The terminology that could be used in this scenario is a constitutional impasse.,If the head of government deny to enforce a decision of the highest court what terminology could be used ?,"If the head of government denies to enforce a decision of the highest court, the terminology that could be used is executive defiance or executive disregard of judicial authority.","['constitutional impasse', 'her or his capacity as public official', 'capacity as public official', 'constitutional impasse']",1,0,refuses,deny
"""Newton's First Law of Motion states that objects continue to move in a state of constant velocity unless acted upon by an external net force or resultant force. This law is an extension of Galileo's insight that constant velocity was associated with a lack of net force (see a more detailed description of this below). Newton proposed that every object with mass has an innate inertia that functions as the fundamental equilibrium """"natural state"""" in place of the Aristotelian idea of the """"natural state of rest"""". That is, the first law contradicts the intuitive Aristotelian belief that a net force is required to keep an object moving with constant velocity. By making rest physically indistinguishable from non-zero constant velocity, Newton's First Law directly connects inertia with the concept of relative velocities. Specifically, in systems where objects are moving with different velocities, it is impossible to determine which object is """"in motion"""" and which object is """"at rest"""". In other words, to phrase matters more technically, the laws of physics are the same in every inertial frame of reference, that is, in all frames related by a Galilean transformation.""","Whose First Law of Motion says that unless acted upon be forces , objects would continue to move at a constant velocity ?",Newton's First Law of Motion.,"Whose First Law of Motion says that unless acted upon be forces , objects would continue to move at a incessant velocity ?",No Answer.,"""['Newton', """"Newton's"""", """"Newton's"""", """"Newton's"""", """"Newton's""""]""",1,0,constant,incessant
"Southern California is also home to a large home grown surf and skateboard culture. Companies such as Volcom, Quiksilver, No Fear, RVCA, and Body Glove are all headquartered here. Professional skateboarder Tony Hawk, professional surfers Rob Machado, Tim Curran, Bobby Martinez, Pat O'Connell, Dane Reynolds, and Chris Ward, and professional snowboarder Shaun White live in southern California. Some of the world's legendary surf spots are in southern California as well, including Trestles, Rincon, The Wedge, Huntington Beach, and Malibu, and it is second only to the island of Oahu in terms of famous surf breaks. Some of the world's biggest extreme sports events, including the X Games, Boost Mobile Pro, and the U.S. Open of Surfing are all in southern California. Southern California is also important to the world of yachting. The annual Transpacific Yacht Race, or Transpac, from Los Angeles to Hawaii, is one of yachting's premier events. The San Diego Yacht Club held the America's Cup, the most prestigious prize in yachting, from 1988 to 1995 and hosted three America's Cup races during that time.",What is the shortened name of the annual yacht race that takes place ?,The shortened name of the annual yacht race is Transpac.,What is the shortened name of the annual yacht race that brings place ?,There is no specific mention of a shortened name for the annual yacht race in the given text.,"['Transpac', 'Transpac', 'Transpac']",1,0,takes,brings
"Southern California consists of a heavily developed urban environment, home to some of the largest urban areas in the state, along with vast areas that have been left undeveloped. It is the third most populated megalopolis in the United States, after the Great Lakes Megalopolis and the Northeastern megalopolis. Much of southern California is famous for its large, spread-out, suburban communities and use of automobiles and highways. The dominant areas are Los Angeles, Orange County, San Diego, and Riverside-San Bernardino, each of which is the center of its respective metropolitan area, composed of numerous smaller cities and communities. The urban area is also host to an international metropolitan region in the form of San Diego–Tijuana, created by the urban area spilling over into Baja California.",What are the second and third most populated megalopolis after Southern California ?,No answer.,What are the 2nd and third most populated megalopolis after Southern California ?,The Great Lakes Megalopolis is the second most populated megalopolis after Southern California. The third most populated megalopolis is the Northeastern megalopolis.,[],1,0,second,2nd
"Johnson's expedition was better organized than Shirley's, which was noticed by New France's governor, the Marquis de Vaudreuil. He had primarily been concerned about the extended supply line to the forts on the Ohio, and had sent Baron Dieskau to lead the defenses at Frontenac against Shirley's expected attack. When Johnson was seen as the larger threat, Vaudreuil sent Dieskau to Fort St. Frédéric to meet that threat. Dieskau planned to attack the British encampment at Fort Edward at the upper end of navigation on the Hudson River, but Johnson had strongly fortified it, and Dieskau's Indian support was reluctant to attack. The two forces finally met in the bloody Battle of Lake George between Fort Edward and Fort William Henry. The battle ended inconclusively, with both sides withdrawing from the field. Johnson's advance stopped at Fort William Henry, and the French withdrew to Ticonderoga Point, where they began the construction of Fort Carillon (later renamed Fort Ticonderoga after British capture in 1759).",How did Vaudreuil react when Johnson was seen as larger threat ?,Vaudreuil sent Dieskau to Fort St. Frédéric to meet that threat.,How did Vaudreuil react when Johnson was looked as larger threat ?,Vaudreuil sent Dieskau to Fort St. Frédéric to meet the threat.,"['sent Dieskau to Fort St. Frédéric to meet that threat', 'sent Dieskau to Fort St. Frédéric', 'sent Dieskau to Fort St. Frédéric', 'sent Dieskau to Fort St. Frédéric', 'sent Dieskau to Fort St. Frédéric']",1,0,seen,looked
"Harvard's 2,400 professors, lecturers, and instructors instruct 7,200 undergraduates and 14,000 graduate students. The school color is crimson, which is also the name of the Harvard sports teams and the daily newspaper, The Harvard Crimson. The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard's 21st and longest-serving president (1869–1909), bought red bandanas for his crew so they could more easily be distinguished by spectators at a regatta.",When was the color crimson adopted at Harvard as official color ?,The color crimson was unofficially adopted at Harvard in 1875.,When was the color crimson adopted at Harvard as official colour ?,No answer.,"['1875', '1875', '1875']",1,0,color,colour
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",What characteristic of oxygen makes it necessary to life ?,The energy content of oxygen makes it necessary for life.,What characteristic of oxygen makes it necessary to spirit ?,There is no answer in the text to suggest any particular characteristic of oxygen that makes it necessary for spirits.,"['energy content', 'its energy content', 'energy content', 'energy content', 'its energy content']",1,0,life,spirit
"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.",What is the most commonplace model utilized in complexity theory ?,The most commonly used model in complexity theory is the Turing machine.,What is the most banal model utilized in complexity theory ?,No answer.,"['the Turing machine', 'the Turing machine', 'Turing machine']",1,0,commonplace,banal
"""The reason for the majority rule is the high risk of a conflict of interest and/or the avoidance of absolute powers. Otherwise, the physician has a financial self-interest in """"diagnosing"""" as many conditions as possible, and in exaggerating their seriousness, because he or she can then sell more medications to the patient. Such self-interest directly conflicts with the patient's interest in obtaining cost-effective medication and avoiding the unnecessary use of medication that may have side-effects. This system reflects much similarity to the checks and balances system of the U.S. and many other governments.[citation needed]""",What do rules about conflict of interest involving doctors diagnosing patients resemble ?,Rules about conflict of interest involving doctors diagnosing patients resemble the checks and balances system of the U.S. and many other governments.,What do rules about dispute of interest involving doctors diagnosing patients resemble ?,There is no answer provided in the given text regarding the resemblance of rules about dispute of interest involving doctors diagnosing patients.,"['the checks and balances system of the U.S. and many other governments.', 'checks and balances system of the U.S. and many other governments', 'similarity to the checks and balances system of the U.S. and many other governments']",1,0,conflict,dispute
"""Federal safety standards, such as NHTSA Federal Motor Vehicle Safety Standard 215 (pertaining to safety bumpers), and compacts like the 1974 Mustang I were a prelude to the DOT """"downsize"""" revision of vehicle categories. By 1977, GM's full-sized cars reflected the crisis. By 1979, virtually all """"full-size"""" American cars had shrunk, featuring smaller engines and smaller outside dimensions. Chrysler ended production of their full-sized luxury sedans at the end of the 1981 model year, moving instead to a full front-wheel drive lineup for 1982 (except for the M-body Dodge Diplomat/Plymouth Gran Fury and Chrysler New Yorker Fifth Avenue sedans).""",What are two changes to GM vehicles that were implemented in 1982 ?,No Answer,What are two changes to GM vehicles that were enforced in 1982 ?,Two changes that were enforced for GM vehicles in 1982 were the transition to a full front-wheel drive lineup and the discontinuation of production for their full-sized luxury sedans.,[],1,0,implemented,enforced
"Breathing pure O\n2 in space applications, such as in some modern space suits, or in early spacecraft such as Apollo, causes no damage due to the low total pressures used. In the case of spacesuits, the O\n2 partial pressure in the breathing gas is, in general, about 30 kPa (1.4 times normal), and the resulting O\n2 partial pressure in the astronaut's arterial blood is only marginally more than normal sea-level O\n2 partial pressure (for more information on this, see space suit and arterial blood gas).",Why was no damage caused by breathing pure O in space applications ?,No Answer.,Why was no damage caused by breathing pure o in space applications ?,"No damage was caused by breathing pure oxygen in space applications because the low total pressures used were not harmful. The O2 partial pressure in the breathing gas was around 30 kPa, only slightly higher than normal sea-level O2 partial pressure. This level of oxygen was safe for astronauts in spacesuits and early spacecraft like Apollo.",[],1,0,O,o
"The last glacial ran from ~74,000 (BP = Before Present), until the end of the Pleistocene (~11,600 BP). In northwest Europe, it saw two very cold phases, peaking around 70,000 BP and around 29,000–24,000 BP. The last phase slightly predates the global last ice age maximum (Last Glacial Maximum). During this time, the lower Rhine flowed roughly west through the Netherlands and extended to the southwest, through the English Channel and finally, to the Atlantic Ocean. The English Channel, the Irish Channel and most of the North Sea were dry land, mainly because sea level was approximately 120 m (390 ft) lower than today.",Which direction did the Rhine flow during the last cold phase ?,The Rhine flowed roughly west through the Netherlands during the last cold phase.,Which direction did the Rhine flow during the last cold-blooded phase ?,No Answer.,"['west', 'west', 'west']",1,0,cold,cold-blooded
"The last glacial ran from ~74,000 (BP = Before Present), until the end of the Pleistocene (~11,600 BP). In northwest Europe, it saw two very cold phases, peaking around 70,000 BP and around 29,000–24,000 BP. The last phase slightly predates the global last ice age maximum (Last Glacial Maximum). During this time, the lower Rhine flowed roughly west through the Netherlands and extended to the southwest, through the English Channel and finally, to the Atlantic Ocean. The English Channel, the Irish Channel and most of the North Sea were dry land, mainly because sea level was approximately 120 m (390 ft) lower than today.",When did the last glacial start ?,"The last glacial started approximately 74,000 BP.",When did the last icy start ?,"The last ice age, also known as the Last Glacial Maximum, is not explicitly mentioned in the given text.","['74,000 (BP', '~74,000 (BP = Before Present)', '~74,000 (BP = Before Present)']",1,0,glacial,icy
"The quick and decisive defeat of the Arab troops during the Six-Day War by Israeli troops constituted a pivotal event in the Arab Muslim world. The defeat along with economic stagnation in the defeated countries, was blamed on the secular Arab nationalism of the ruling regimes. A steep and steady decline in the popularity and credibility of secular, socialist and nationalist politics ensued. Ba'athism, Arab socialism, and Arab nationalism suffered, and different democratic and anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb gained ground.",What gained ground when Arab nationalism suffered ?,Different democratic and anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb gained ground.,What gained ground when Arab nationalism endured ?,No Answer.,"['anti-democratic Islamist movements', 'anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb', 'anti-democratic Islamist movements']",1,0,suffered,endured
"Homes from the early 20th century line this boulevard in the heart of the historic Alta Vista Tract. The section of Huntington Boulevard between First Street on the west to Cedar Avenue on the east is the home to many large, stately homes. The original development of this area began circa 1910, on 190 acres of what had been an alfalfa field. The Alta Vista Tract, as the land would become known, was mapped by William Stranahan for the Pacific Improvement Corporation, and was officially platted in 1911. The tract's boundaries were Balch Avenue on the south, Cedar Avenue on the east, the rear property line of Platt Avenue (east of Sixth Street) and Platt Avenue (west of Sixth Street) on the north, and First Street on the west. The subdivision was annexed to the City in January 1912, in an election that was the first in which women voted in the community. At the time of its admission to the City, the Alta Vista Tract was uninhabited but landscaped, although the trees had to be watered by tank wagon. In 1914 developers Billings & Meyering acquired the tract, completed street development, provided the last of the necessary municipal improvements including water service, and began marketing the property with fervor. A mere half decade later the tract had 267 homes. This rapid development was no doubt hastened by the Fresno Traction Company right-of-way along Huntington Boulevard, which provided streetcar connections between downtown and the County Hospital.",Which company provided streetcar connections between downtown and the hospital ?,The Fresno Traction Company.,Which company provided streetcar connections between downtown and the infirmary ?,No answer.,"['Fresno Traction Company', 'Fresno Traction Company', 'Fresno Traction Company']",1,0,hospital,infirmary
"Passenger rail service is provided by Amtrak San Joaquins. The main passenger rail station is the recently renovated historic Santa Fe Railroad Depot in Downtown Fresno. The Bakersfield-Stockton mainlines of the Burlington Northern Santa Fe Railway and Union Pacific Railroad railroads cross in Fresno, and both railroads maintain railyards within the city; the San Joaquin Valley Railroad also operates former Southern Pacific branchlines heading west and south out of the city. The city of Fresno is planned to serve the future California High Speed Rail.","If you were to take a train west or south out of the city of Fresno , which railroad would you take ?","If you were to take a train west or south out of the city of Fresno, you would take the San Joaquin Valley Railroad.","If you were to hold a train west or south out of the city of Fresno , which railroad would you take ?","I'm sorry, but I don't have an answer to that question based on the provided text.","['San Joaquin Valley Railroad', 'San Joaquin Valley Railroad', 'San Joaquin Valley Railroad']",1,0,take,hold
"""Economist Joseph Stiglitz presented evidence in 2009 that both global inequality and inequality within countries prevent growth by limiting aggregate demand. Economist Branko Milanovic, wrote in 2001 that, """"The view that income inequality harms growth – or that improved equality can help sustain growth – has become more widely held in recent years. ... The main reason for this shift is the increasing importance of human capital in development. When physical capital mattered most, savings and investments were key. Then it was important to have a large contingent of rich people who could save a greater proportion of their income than the poor and invest it in physical capital. But now that human capital is scarcer than machines, widespread education has become the secret to growth.""""""",What has been the main reason for the shift to the view that income inequality harms growth ?,The main reason for the shift is the increasing importance of human capital in development.,What has been the main reason for the shift to the view that income inequality harms emergence ?,No Answer.,"['increasing importance of human capital in development', 'increasing importance of human capital in development', 'increasing importance of human capital']",1,0,growth,emergence
