s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index
A rotten movie . ,"that 's not but unwatchable , but also unlistenable ","A rotten movie that's not but unwatchable , but also unlistenable .",negative,-1,negative,-0.8,negative,-0.9,0,2
"Without resorting to hyperbole , i can state that kissing jessica stein may be the good same-sex romance . ",i have found ,"Without resorting to hyperbole , i can state that kissing jessica stein may be the good same-sex romance i have found .",positive,0.9,positive,0.8,positive,0.7,0,6
"Often uproarious , well-shot and , importantly , entertaining , hell house is a enthralling document of an event . ",that has to be watched to be believed ,"Often uproarious , well-shot and , importantly , entertaining , hell house is a enthralling document of an event that has to be watched to be believed .",positive,0.9,positive,0.7,positive,0.8,0,22
This is a film brimming with detail and subtlety and one that speaks volumes about the ability of the human life . ,to get solace in events ,This is a film brimming with detail and subtlety and one that speaks volumes about the ability of the human life to get solace in events .,positive,0.9,positive,0.6,positive,0.8,0,33
A fresh korean film about five female high school Friends who face an uphill fight . ,when they hear to take their relationships into deeper waters ,A fresh korean film about five female high school Friends who face an uphill fight when they hear to take their relationships into deeper waters .,positive,0.8,positive,0.7,positive,0.7,0,58
"Offensive in the way it exploits the hot-button issue of domestic maltreatment for inexpensive thrills and distasteful in the manner it repeatedly puts a small child in jeopardy , treating her as slight more than a prop . ",to be cruelly crucified ,"Offensive in the way it exploits the hot-button issue of domestic maltreatment for inexpensive thrills and distasteful in the manner it repeatedly puts a small child in jeopardy , treating her as slight more than a prop to be cruelly crucified .",negative,-0.9,negative,-0.7,negative,-0.8,0,76
"Offensive in the way it exploits the hot-button matter of domestic abuse for inexpensive thrills and distasteful in the manner it repeatedly puts a pocket-sized child in jeopardy , treating her as little more than a prop . ",to be cruelly tormented ,"Offensive in the way it exploits the hot-button matter of domestic abuse for inexpensive thrills and distasteful in the manner it repeatedly puts a pocket-sized child in jeopardy , treating her as little more than a prop to be cruelly tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,85
This film's relationship to real tension is the same as what christmas-tree flocking in a sprayer can is to actual snow . ,a wretched ,This film's relationship to real tension is the same as what christmas-tree flocking in a sprayer can is to actual snow : a wretched .,negative,-0.8,negative,-0.9,negative,-0.7,0,95
"An fascinating , playful film that perpetually frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way . ",that derrida would doubtlessly give his blessing to ,"An fascinating , playful film that perpetually frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very format of the biography in a way that derrida would doubtlessly give his blessing to .",positive,0.9,positive,0.7,positive,0.8,0,109
"An entrancing , playful film that forever frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtlessly give his blessing to ,"An entrancing , playful film that forever frustrates our desire to experience the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way that derrida would doubtlessly give his blessing to .",negative,-0.6,positive,0.8,negative,-0.7,0,122
"This may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story . ",mainly because of the manner it 's told by the people ,"This may not have the dramatic gut-wrenching impact of other holocaust films , but i's a compelling story , mainly because of the manner it 's told by the people .",positive,0.8,positive,0.6,positive,0.7,0,129
"Myers never knows when to allow a gag die ; thus , we're subjected to one mind-numbingly extended riff . ",on poo and pee jokes ,"Myers never knows when to allow a gag die ; thus , we're subjected to one mind-numbingly extended riff on poo and pee jokes .",negative,-0.8,negative,-0.6,negative,-0.7,0,185
"If you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a narrative . ",that is unlike any you will likely realize anywhere else ,"If you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a narrative that is unlike any you will likely realize anywhere else .",positive,0.9,positive,0.7,positive,0.8,0,198
