,original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,sent_id,insert_id,group_no,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
0,Moore's performance impresses about .,1,0.0008336305618286,0.9991663694381714,as often as her work with haynes in 1995 's safe,1,0.0968671441078186,0.9031328558921814,Moor's performance impresses about as often as her work with haynes in 1995 's safe .,0,0.9536956548690796,0.0463043451309204,258,13,t1,121,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
1,Moore's performance impresses about .,1,0.0008336305618286,0.9991663694381714,as lots as her work with haynes in 1995 's safe,1,0.0940980911254882,0.9059019088745116,Moor's performance impresses about as lots as her work with haynes in 1995 's safe .,0,0.9605445265769958,0.0394554734230041,259,13,t1,121,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
2,Moore's performance impresses about .,1,0.0008336305618286,0.9991663694381714,as practically as her work with haynes in 1995 's safe,1,0.1176637411117554,0.8823362588882446,Moor's performance impresses about as practically as her work with haynes in 1995 's safe .,0,0.965334951877594,0.034665048122406,260,13,t1,121,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
3,Moore's performance impresses about .,1,0.0008336305618286,0.9991663694381714,as much as her work with haynes in 1995 's secure,1,0.0869341492652893,0.9130658507347108,Moor's performance impresses about as much as her work with haynes in 1995 's secure .,0,0.9643372893333436,0.0356627106666564,261,13,t1,121,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
4,Moore's performance impresses about .,1,0.0008336305618286,0.9991663694381714,as much as her work with haynes in 1995 's good,1,0.0182468891143798,0.98175311088562,Moor's performance impresses about as much as her work with haynes in 1995 's good .,0,0.9527099132537842,0.0472900867462158,262,13,t1,121,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
5,Benefits from a solid performance from zhao .,1,0.0005751848220825,0.9994248151779176,but it 's dong jie 's cheek,1,0.4309589266777039,0.5690410733222961,"Benefits from a solid performance from zhao , but i's dong jie 's cheek .",1,0.116168737411499,0.883831262588501,4940,125,t2,1195,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,dong jie 's,0,blank,0,blank,0,blank,0,blank
6,Benefits from a hard performance from zhao .,1,0.0038642287254333,0.9961357712745668,but it 's dong jie 's cheek,1,0.4309589266777039,0.5690410733222961,"Benefits from a hard performance from zhao , but i's dong jie 's cheek .",1,0.2199702262878418,0.7800297737121582,4942,125,t2,1196,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,dong jie 's,0,blank,0,blank,0,blank,0,blank
7,Benefits from a substantial performance from zhao .,1,0.0010830163955688,0.9989169836044312,but it 's dong jie 's cheek,1,0.4309589266777039,0.5690410733222961,"Benefits from a substantial performance from zhao , but i's dong jie 's cheek .",1,0.2111753821372986,0.7888246178627014,4946,125,t2,1198,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,dong jie 's,0,blank,0,blank,0,blank,0,blank
8,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips .",0,0.6377450823783875,0.3622549176216125,from the pink cougar strikes again and/or sailor moon,1,0.1016621589660645,0.8983378410339355,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips from the pink cougar strikes again and/or sailor moon .",0,0.833381175994873,0.166618824005127,10846,259,t1,2842,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,moon,0,blank,0,blank,0,blank,0,blank
9,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips .",0,0.6377450823783875,0.3622549176216125,from the pink puma strikes again and/or sailor moon,1,0.0666759610176086,0.9333240389823914,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips from the pink puma strikes again and/or sailor moon .",0,0.7741148471832275,0.2258851528167725,10847,259,t1,2842,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,moon,0,blank,0,blank,0,blank,0,blank
10,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips .",0,0.6377450823783875,0.3622549176216125,from the pink panther ten-strikes again and/or sailor moon,1,0.1640135049819946,0.8359864950180054,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips from the pink panther ten-strikes again and/or sailor moon .",0,0.913057506084442,0.0869424939155578,10848,259,t1,2842,1,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,moon,0,blank,0,blank,0,blank,0,blank
11,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips .",0,0.6377450823783875,0.3622549176216125,from the pink panther hits again and/or sailor moon,1,0.0809569954872131,0.9190430045127868,"One minute , you remember you're watching a serious actioner ; the next , it's as though clips from the pink panther hits again and/or sailor moon .",0,0.9231560230255128,0.0768439769744873,10849,259,t1,2842,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,moon,0,blank,0,blank,0,blank,0,blank
12,tourists might want to consider a different destination .,0,0.733852744102478,0.266147255897522,If this is the danish thought,1,0.2393518090248108,0.7606481909751892,"If this is the danish thought , tourists might want to consider a different destination .",0,0.9737532734870912,0.0262467265129089,16086,412,t0,4841,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,danish,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
13,tourists might want to consider a different destination .,0,0.733852744102478,0.266147255897522,If this is the danish mind,1,0.135383129119873,0.864616870880127,"If this is the danish mind , tourists might want to consider a different destination .",0,0.9700567126274108,0.0299432873725891,16087,412,t0,4841,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,danish,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
14,"Somewhere short of tremors on the Modern b-scene : neither as funny nor as clever , though an enjoyably unpretentious way .",0,0.520186722278595,0.479813277721405,to expend ninety minutes,0,0.9205330610275269,0.0794669389724731,"Somewhere short of tremors on the Modern b-scene : neither as funny nor as clever , though an enjoyably unpretentious way to expend ninety minutes .",1,0.1965489983558655,0.8034510016441345,16736,432,t3,4959,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,ninety minutes,0,blank
