context,origin,origin_ans,new,new_ans,answers,origin_result,result,origin_token,replaced_token
"The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descendants would gradually merge with the Carolingian-based cultures of West Francia. The distinct cultural and ethnic identity of the Normans emerged initially in the first half of the 10th century, and it continued to evolve over the succeeding centuries.",What century did the Normans first gain their separate identity ?,10th,What century did the Normans first gain their split identity ?,,"['10th century', 'the first half of the 10th century', '10th', '10th']",1,0,separate,split
"Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks. Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines, but they soon fought in Byzantine service in Sicily. They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038–40. There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen.",Who did the Normans encourage to come to the south ?,,Who did the Normans encourage to fall to the south ?,Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines,[],1,0,come,fall
"The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a Norman principality in Antioch. They were major foreign participants in the Reconquista in Iberia. In 1018, Roger de Tosny travelled to the Iberian Peninsula to carve out a state for himself from Moorish lands, but failed. In 1064, during the War of Barbastro, William of Montreuil led the papal army and took a huge booty.",What did the Normans take part in in the 10th century ?,,What did the Normans take part in in the tenth century ?,religious wars,[],1,0,10th,tenth
"In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic. In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily.","Who incorperated Islamic , LOmbard , and Byzantine building techniques in England ?",,"Who incorperated Islamic , LOmbard , and Byzantine construction techniques in England ?",the Normans,[],1,0,building,construction
"In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic. In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily.","Who incorperated Islamic , LOmbard , and Byzantine building techniques in England ?",,"Who incorperated Islamic , LOmbard , and Byzantine edifice techniques in England ?",the Normans,[],1,0,building,edifice
"A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used. The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage. Other complexity measures are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing). One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.",What practical role does defining the complexity of problems play in everyday computing ?,determine the practical limits on what computers can and cannot do,What pragmatic role does defining the complexity of problems play in everyday computing ?,One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.,"['determine the practical limits on what computers can and cannot do', 'what computers can and cannot do', 'determine the practical limits on what computers can and cannot do']",1,0,practical,pragmatic
"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,,What are two fields of theoretical computer science that closely mirror computational ease theory ?,analysis of algorithms and computability theory,[],1,0,simplicity,ease
"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,,What are two fields of theoretical computer science that closely mirror computational easiness theory ?,analysis of algorithms and computability theory,[],1,0,simplicity,easiness
"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,,What are two fields of theoretical computer science that closely mirror computational simpleness theory ?,analysis of algorithms and computability theory,[],1,0,simplicity,simpleness
"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,,What are two fields of theoretical computer science that closely mirror computational simplicity hypothesis ?,analysis of algorithms and computability theory,[],1,0,theory,hypothesis
"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved. In contrast, an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem. For example, consider the problem of primality testing. The instance is a number (e.g. 15) and the solution is ""yes"" if the number is prime and ""no"" otherwise (in this case ""no""). Stated another way, the instance is a particular input to the problem, and the solution is the output corresponding to the given input.",What is the general term used to describe the output to any given input in a problem instance ?,the solution,What is the general term used to describe the output to any given input in a trouble instance ?,,"['solution', 'the solution', 'solution']",1,0,problem,trouble
"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved. In contrast, an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem. For example, consider the problem of primality testing. The instance is a number (e.g. 15) and the solution is ""yes"" if the number is prime and ""no"" otherwise (in this case ""no""). Stated another way, the instance is a particular input to the problem, and the solution is the output corresponding to the given input.",What is a particular measure input associated with the a theory ?,,What is a peculiar measure input associated with the a theory ?,"an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem.",[],1,0,particular,peculiar
"When considering computational problems, a problem instance is a string over an alphabet. Usually, the alphabet is taken to be the binary alphabet (i.e., the set {0,1}), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.","In the encoding of mathematical objects , what is the way in which integers are commonly expressed ?",binary notation,"In the encoding of numerical objects , what is the way in which integers are commonly expressed ?",integers can be represented in binary notation,"['binary notation', 'binary notation', 'binary notation']",1,0,mathematical,numerical
"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",What is a typical type of computational problem whose answer is either yer or no ?,,What is a typical type of computational problem whose reply is either yer or no ?,A decision problem,[],1,0,answer,reply
"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",What is a typical type of computational problem whose answer is either yer or no ?,,What is a typical type of computational problem whose response is either yer or no ?,A decision problem,[],1,0,answer,response
"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",What are the three integer responses to a decision problem ?,,What are the three integer responses to a determination problem ?,1 or 0,[],1,0,decision,determination
"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",What are the three integer responses to a decision problem ?,,What are the three integer responses to a decision trouble ?,"yes or no, or alternately either 1 or 0.",[],1,0,problem,trouble
"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,,What is the term granted to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,a polynomial time algorithm,[],1,0,given,granted
"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,,What is the term presented to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,a polynomial time algorithm,[],1,0,given,presented
"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,,What is the term made to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,a polynomial time algorithm,[],1,0,given,made
"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,,What is the term handed to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,a polynomial time algorithm,[],1,0,given,handed
"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,,What is the term paid to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,a polynomial time algorithm,[],1,0,given,paid
"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.",What is the most commonplace model utilized in complexity theory ?,Turing machine,What is the most banal model utilized in complexity theory ?,,"['the Turing machine', 'the Turing machine', 'Turing machine']",1,0,commonplace,banal
"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.",What is the most commonplace model utilized in complexity theory ?,Turing machine,What is the most trite model utilized in complexity theory ?,,"['the Turing machine', 'the Turing machine', 'Turing machine']",1,0,commonplace,trite
"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",What are three factors that directly effect how powerful a Turing machine may or may not be ?,,What are three factors that direct effect how powerful a Turing machine may or may not be ?,"resources (such as time or space) are bounded, some of these may be more powerful than others.",[],1,0,directly,direct
"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",What are three factors that directly effect how powerful a Turing machine may or may not be ?,,What are three factors that immediately effect how powerful a Turing machine may or may not be ?,"resources (such as time or space) are bounded,",[],1,0,directly,immediately
"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",What are three factors that directly effect how powerful a Turing machine may or may not be ?,,What are three factors that instantly effect how powerful a Turing machine may or may not be ?,"resources (such as time or space) are bounded,",[],1,0,directly,instantly
