original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,sent_id,insert_id,group_no
It is not a mass-market entertainment but an uncompromising try by one artist .,1,0.02648085355758667,0.9735191464424133,to suppose about another,1,0.09067869186401367,0.9093213081359863,It is not a mass-market entertainment but an uncompromising try by one artist to suppose about another .,1,0.1744916439056396,0.8255083560943604,196,8,t2,102
Watching the film is like reading a times portrait of grief that prevents shifting focus to the journalist .,0,0.6483505964279175,0.3516494035720825,who penned it,1,0.4358549118041992,0.5641450881958008,Watching the film is like reading a times portrait of grief that prevents shifting focus to the journalist who penned it .,0,0.8679708242416382,0.1320291757583618,225,12,t1,108
Moore's performance impresses about .,1,0.0008336305618286133,0.9991663694381714,as often as her work with haynes in 1995 's safe,1,0.0968671441078186,0.9031328558921814,Moor's performance impresses about as often as her work with haynes in 1995 's safe .,0,0.9536956548690796,0.04630434513092041,258,13,t1,121
Moore's performance impresses about .,1,0.0008336305618286133,0.9991663694381714,as lots as her work with haynes in 1995 's safe,1,0.09409809112548828,0.9059019088745117,Moor's performance impresses about as lots as her work with haynes in 1995 's safe .,0,0.9605445265769958,0.03945547342300415,259,13,t1,121
Moore's performance impresses about .,1,0.0008336305618286133,0.9991663694381714,as practically as her work with haynes in 1995 's safe,1,0.1176637411117554,0.8823362588882446,Moor's performance impresses about as practically as her work with haynes in 1995 's safe .,0,0.965334951877594,0.03466504812240601,260,13,t1,121
Moore's performance impresses about .,1,0.0008336305618286133,0.9991663694381714,as much as her work with haynes in 1995 's secure,1,0.0869341492652893,0.9130658507347107,Moor's performance impresses about as much as her work with haynes in 1995 's secure .,0,0.9643372893333435,0.03566271066665649,261,13,t1,121
Moore's performance impresses about .,1,0.0008336305618286133,0.9991663694381714,as much as her work with haynes in 1995 's good,1,0.01824688911437988,0.9817531108856201,Moor's performance impresses about as much as her work with haynes in 1995 's good .,0,0.9527099132537842,0.04729008674621582,262,13,t1,121
Here's a British flick joyously unconcerned .,1,0.02557039260864258,0.9744296073913574,with plausibility,1,0.006042242050170898,0.9939577579498291,Here's a British flick joyously unconcerned with plausibility .,0,0.7834382057189941,0.2165617942810059,624,29,t2,241
Here's a British flick joyfully unconcerned .,1,0.01276135444641113,0.9872386455535889,with plausibility,1,0.006042242050170898,0.9939577579498291,Here's a British flick joyfully unconcerned with plausibility .,1,0.2386907935142517,0.7613092064857483,625,29,t2,242
The angry coherence that ( deniro ) lends to this part only underscores the fuzzy sentimentality of the movie itself .,0,0.8800541162490845,0.1199458837509155,"which feels , as it trudge toward the end",0,0.9702592492103577,0.02974075078964233,"The angry coherence that ( deniro ) lends to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it trudge toward the end .",0,0.7566933035850525,0.2433066964149475,2248,49,t2,510
The enraged coherence that ( deniro ) lends to this part only underscores the fuzzy sentimentality of the movie itself .,0,0.8814006447792053,0.1185993552207947,"which feels , as it trudge toward the end",0,0.9702592492103577,0.02974075078964233,"The enraged coherence that ( deniro ) lends to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it trudge toward the end .",0,0.7570199966430664,0.2429800033569336,2276,49,t2,514
The ferocious coherence that ( deniro ) takes to this part only underscores the fuzzy sentimentality of the movie itself .,0,0.5023178458213806,0.4976821541786194,"which feels , as it trudge toward the end",0,0.9702592492103577,0.02974075078964233,"The ferocious coherence that ( deniro ) takes to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it trudge toward the end .",1,0.2978807091712952,0.7021192908287048,2318,49,t2,520
the camera looks there is something .,1,0.00477975606918335,0.9952202439308167,Everywhere,1,0.1887500286102295,0.8112499713897705,Everywhere the camera looks there is something .,0,0.5267709493637085,0.4732290506362915,4265,83,t0,926
"Theology apart , why put someone ?",0,0.9588852524757385,0.04111474752426147,who finally does n't learn at the center of a kids ' story,0,0.9838269352912903,0.01617306470870972,"Theology apart , why put someone who finally doesn't learn at the center of a kids ' story ?",0,0.7884870171546936,0.2115129828453064,4897,123,t1,1186
"Theology apart , why put someone ?",0,0.9588852524757385,0.04111474752426147,who ultimately does n't teach at the center of a kids ' story,0,0.9790722727775574,0.02092772722244263,"Theology apart , why put someone who ultimately doesn't teach at the center of a kids ' story ?",0,0.7009613513946533,0.2990386486053467,4898,123,t1,1186
"Theology apart , why put someone ?",0,0.9588852524757385,0.04111474752426147,who ultimately does n't discover at the center of a kids ' story,0,0.9846515655517578,0.01534843444824219,"Theology apart , why put someone who ultimately doesn't discover at the center of a kids ' story ?",0,0.5371407270431519,0.4628592729568481,4899,123,t1,1186
"Theology apart , why put someone ?",0,0.9588852524757385,0.04111474752426147,who ultimately does n't take at the center of a kids ' story,0,0.9790660738945007,0.02093392610549927,"Theology apart , why put someone who ultimately doesn't take at the center of a kids ' story ?",1,0.1961690187454224,0.8038309812545776,4900,123,t1,1186
"Theology apart , why put someone ?",0,0.9588852524757385,0.04111474752426147,who ultimately does n't see at the center of a kids ' story,0,0.9805752038955688,0.01942479610443115,"Theology apart , why put someone who ultimately doesn't see at the center of a kids ' story ?",0,0.81828773021698,0.18171226978302,4901,123,t1,1186
"Theology apart , why put someone ?",0,0.9588852524757385,0.04111474752426147,who ultimately does n't hear at the center of a kids ' story,0,0.9795024394989014,0.02049756050109863,"Theology apart , why put someone who ultimately doesn't hear at the center of a kids ' story ?",0,0.8299177885055542,0.1700822114944458,4902,123,t1,1186
"Theology away , why put someone ?",0,0.9800412058830261,0.01995879411697388,who ultimately does n't take at the center of a kids ' story,0,0.9790660738945007,0.02093392610549927,"Theology away , why put someone who ultimately doesn't take at the center of a kids ' story ?",0,0.6144011616706848,0.3855988383293152,4914,123,t1,1187
Benefits from a solid performance from zhao .,1,0.0005751848220825195,0.9994248151779175,but it 's dong jie 's cheek,1,0.4309589266777039,0.5690410733222961,"Benefits from a solid performance from zhao , but i's dong jie 's cheek .",1,0.116168737411499,0.883831262588501,4940,125,t2,1195
Benefits from a hard performance from zhao .,1,0.00386422872543335,0.9961357712745667,but it 's dong jie 's cheek,1,0.4309589266777039,0.5690410733222961,"Benefits from a hard performance from zhao , but i's dong jie 's cheek .",1,0.2199702262878418,0.7800297737121582,4942,125,t2,1196
Benefits from a substantial performance from zhao .,1,0.001083016395568848,0.9989169836044312,but it 's dong jie 's cheek,1,0.4309589266777039,0.5690410733222961,"Benefits from a substantial performance from zhao , but i's dong jie 's cheek .",1,0.2111753821372986,0.7888246178627014,4946,125,t2,1198
it's a lovers-on-the-run crime flick .,1,0.2406426668167114,0.7593573331832886,On the surface,1,0.1511171460151672,0.8488828539848328,"On the surface , it's a lovers-on-the-run crime flick .",1,0.4044644832611084,0.5955355167388916,5084,132,t0,1249
colorful and overblown .,0,0.8423329591751099,0.1576670408248901,"Occasionally odd , always very",0,0.6084038019180298,0.3915961980819702,"Occasionally odd , always very colorful and overblown .",1,0.3437426686286926,0.6562573313713074,5152,139,t0,1265
"An intelligent , earnest , intimate film that drops the ball only .",1,0.3730647563934326,0.6269352436065674,when it pause for blunt exposition,0,0.9753280282020569,0.02467197179794312,"An intelligent , earnest , intimate film that drops the ball only when it pause for blunt exposition .",1,0.03877794742584229,0.9612220525741577,5240,140,t2,1297
"An intelligent , earnest , cozy film that drops the ball only .",0,0.7231016755104065,0.2768983244895935,when it pause for blunt exposition,0,0.9753280282020569,0.02467197179794312,"An intelligent , earnest , cozy film that drops the ball only when it pause for blunt exposition .",1,0.1454164981842041,0.8545835018157959,5242,140,t2,1299
"An intelligent , earnest , informal film that drops the ball only .",0,0.7303293943405151,0.2696706056594849,when it pause for blunt exposition,0,0.9753280282020569,0.02467197179794312,"An intelligent , earnest , informal film that drops the ball only when it pause for blunt exposition .",1,0.1118089556694031,0.8881910443305969,5244,140,t2,1301
"Good for a few unplanned laughs "" ops "" was obviously made for the "" xxx "" crowd .",0,0.8734002113342285,0.1265997886657715,extreme,0,0.7813804149627686,0.2186195850372314,"Good for a few unplanned laughs "" extreme ops "" was obviously made for the "" xxx "" crowd .",0,0.73627108335495,0.26372891664505,5497,148,t2,1362
"a sucker , martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2204861044883728,0.7795138955116272,If you 're like me,1,0.09144681692123413,0.9085531830787659,"If you're like me , a sucker martha offers all the perfect ingredients to more than satisfy your appetite .",0,0.7010878920555115,0.2989121079444885,5779,161,t0,1446
