,original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,sent_id,insert_id,group_no,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
0,"By the ending of no such thing the audience , has a affection .",1,0.6981768608093262,0.3018231391906738,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the ending of no such thing the audience , like Beatrice , has a affection .",1,0.4247739613056183,0.5752260088920593,112,2,t1,70,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,Beatrice,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
1,"By the last of no such thing the audience , has a affection .",1,0.7938443422317505,0.2061556726694107,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the last of no such thing the audience , like Beatrice , has a affection .",1,0.370052844285965,0.6299471259117126,113,2,t1,71,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,Beatrice,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
2,"By the close of no such thing the audience , has a affection .",1,0.8278837203979492,0.1721162348985672,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the close of no such thing the audience , like Beatrice , has a affection .",1,0.4165246486663818,0.5834753513336182,114,2,t1,72,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,Beatrice,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
3,"By the closing of no such thing the audience , has a affection .",1,0.6988177299499512,0.3011822402477264,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the closing of no such thing the audience , like Beatrice , has a affection .",1,0.3505207300186157,0.6494792699813843,115,2,t1,73,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,Beatrice,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
4,"By the end of no such matter the audience , has a affection .",1,0.7696622610092163,0.2303377836942673,like Beatrice,0,0.4871156215667725,0.5128843784332275,"By the end of no such matter the audience , like Beatrice , has a affection .",1,0.4683949947357178,0.5316050052642822,116,2,t1,74,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,Beatrice,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
5,Moore's performance impresses nearly .,1,0.4267679154872894,0.573232114315033,as often as her work with haynes in 1995 's safe,0,0.6828528642654419,0.3171471357345581,Moor's performance impresses nearly as often as her work with haynes in 1995 's safe .,0,0.323707789182663,0.6762921810150146,238,13,t1,117,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
6,Moore's performance impresses nearly .,1,0.4267679154872894,0.573232114315033,as much as her work with haynes in 1995 's good,0,0.462218314409256,0.5377816557884216,Moor's performance impresses nearly as much as her work with haynes in 1995 's good .,0,0.1595172882080078,0.8404826521873474,242,13,t1,117,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
7,Moore's performance impresses virtually .,0,0.4843768179416656,0.5156232118606567,as much as her work with haynes in 1995 's secure,0,0.5687418580055237,0.4312581419944763,Moor's performance impresses virtually as much as her work with haynes in 1995 's secure .,0,0.3027723133563995,0.6972277164459229,246,13,t1,118,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
8,Moore's performance impresses virtually .,0,0.4843768179416656,0.5156232118606567,as much as her work with haynes in 1995 's good,0,0.462218314409256,0.5377816557884216,Moor's performance impresses virtually as much as her work with haynes in 1995 's good .,0,0.1776284277439117,0.8223716020584106,247,13,t1,118,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
9,Moore's performance impresses most .,1,0.5363311171531677,0.4636689126491547,as much as her work with haynes in 1995 's good,0,0.462218314409256,0.5377816557884216,Moor's performance impresses most as much as her work with haynes in 1995 's good .,0,0.3370255827903748,0.6629744172096252,252,13,t1,119,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
10,Moore's performance impresses well-nigh .,1,0.5295534133911133,0.4704465568065643,as often as her work with haynes in 1995 's safe,0,0.6828528642654419,0.3171471357345581,Moor's performance impresses well-nigh as often as her work with haynes in 1995 's safe .,1,0.3890652060508728,0.6109347939491272,253,13,t1,120,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
11,Moore's performance impresses well-nigh .,1,0.5295534133911133,0.4704465568065643,as much as her work with haynes in 1995 's secure,0,0.5687418580055237,0.4312581419944763,Moor's performance impresses well-nigh as much as her work with haynes in 1995 's secure .,0,0.2104044109582901,0.7895955443382263,256,13,t1,120,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
12,Moore's performance impresses well-nigh .,1,0.5295534133911133,0.4704465568065643,as much as her work with haynes in 1995 's good,0,0.462218314409256,0.5377816557884216,Moor's performance impresses well-nigh as much as her work with haynes in 1995 's good .,0,0.1932074278593063,0.8067925572395325,257,13,t1,120,0,blank,1,1995,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
