,Unnamed: 0,original_text,original_sentiment,original_neg_score,original_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,sent_id
0,0,This film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,0.99475359916687,0.0052464008331298,This film 's relationship to actual tension is not the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,0.9948464632034302,0.0051535367965698,1
1,4,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.9405561685562134,0.0594438314437866,"None of this doesn't violate the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.9346075057983398,0.0653924942016601,6
2,7,It 's also heavy-handed and devotes too much time to bigoted views .,0,0.9959633350372314,0.0040366649627685,It 's not also heavy-handed and devotes too much time to bigoted views .,0,0.9821505546569824,0.0178494453430175,10
3,12,"Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",1,0.0008767247200012,0.9991232752799988,"Waydowntown is not by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",1,0.0008910298347473,0.9991089701652528,18
4,13,It 's just incredibly dull .,0,0.996712327003479,0.0032876729965209,It 's not just incredibly dull .,0,0.9909549355506896,0.0090450644493103,19
5,14,"Some , like ballistic , arrive stillborn ... looking like the beaten , well-worn video box cover of seven years into the future .",0,0.9947186708450316,0.0052813291549682,"Some , like ballistic , arrive stillborn ... not looking like the beaten , well-worn video box cover of seven years into the future .",0,0.98722642660141,0.01277357339859,20
6,15,Mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,0,0.9917952418327332,0.0082047581672668,don't mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,0,0.9800690412521362,0.0199309587478637,22
7,17,"Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .",0,0.992436707019806,0.007563292980194,"doesn't start off with a bang , but then fizzles like a wet stick of dynamite at the very end .",0,0.994590163230896,0.005409836769104,25
8,18,The best way to hope for any chance of enjoying this film is by lowering your expectations .,0,0.9594336748123168,0.0405663251876831,The best way to hope for any chance of enjoying this film is not by lowering your expectations .,0,0.9052255749702454,0.0947744250297546,26
9,21,"Here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",1,0.007035493850708,0.992964506149292,"Here 's not a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",1,0.0198515653610229,0.980148434638977,29
10,23,So few movies explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .,0,0.9922202229499816,0.0077797770500183,So few movies don't explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .,0,0.9907017946243286,0.0092982053756713,31
