s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
"The latest installment in the pokemon canon , pokemon 4ever is surprising .","less moldy and trite than the last two , however","The latest installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the last two , however .",positive,0.6,neutral,0.1,positive,0.5,0,15,0,blank,1,the last two,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
As a randy man about sexy women in gorgeous places being pushed and pulled ( literally and literally ) by desire .,... ( sex and lucía ) makes for an arousing good time,As a randy man about sexy women in gorgeous places being pushed and pulled ( literally and literally ) by desire ... ( sex and lucía ) makes for an arousing good time .,positive,0.8,positive,0.9,positive,0.7,0,41,0,blank,0,blank,0,blank,0,blank,1,lucía,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An animated , playful film that constantly frustrates our desire to discover the ` truth ' about this planet , while maintaining the very format of the biography in a film .",that derrida would later give his blessing to,"An animated , playful film that constantly frustrates our desire to discover the ` truth ' about this planet , while maintaining the very format of the biography in a film that derrida would later give his blessing to .",positive,0.7,neutral,0,positive,0.6,1,51,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
This bold and lyrical song feature from raja amari expands the pat notion empowerment .,that middle-aged women just wan na have fun into a rousing treatise of female,This bold and lyrical song feature from raja amari expands the pat notion that middle-aged women just wan na have fun into a rousing treatise of female empowerment .,positive,0.8,positive,0.9,positive,0.7,0,56,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,wan,0,blank,0,blank,0,blank,0,blank
"Although very much like the first one , this second go-round possesses a very pleasing , headlong thrust and a attitude .",likably delinquent,"Although very much like the first one , this second go-round possesses a very pleasing , headlong thrust and a likably delinquent attitude .",positive,0.8,positive,0.6,positive,0.7,0,64,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,likably,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's best known work , but it 's definitely his finest american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the equal of wo's best known work , but it 's definitely his finest american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.7,positive,0.6,positive,0.6,0,85,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's best known work , but it 's easily his finest american film .",... comes close to recapturing the brilliance of his hong kong debut,"Isn't quite the equal of wo's best known work , but it 's easily his finest american film ... comes close to recapturing the brilliance of his hong kong debut .",positive,0.8,positive,0.7,positive,0.6,0,115,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An enthralling , playful film that constantly fuels our desire to discover the ` truth ' about this man , while deconstructing the very format of the film in a manner .",that derrida would later give his blessing to,"An enthralling , playful film that constantly fuels our desire to discover the ` truth ' about this man , while deconstructing the very format of the film in a manner that derrida would later give his blessing to .",positive,0.9,neutral,0,positive,0.8,1,213,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An animated , playful film that constantly frustrates our desire to find the ` truth ' about this planet , while deconstructing the very format of the film in a manner .",that derrida would not give his blessing to,"An animated , playful film that constantly frustrates our desire to find the ` truth ' about this planet , while deconstructing the very format of the film in a manner that derrida would not give his blessing to .",negative,-0.7,neutral,0,negative,-0.8,1,219,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An animated , playful film that constantly frustrates our minds to find the ` truth ' about this man , while retaining the very format of the biography in a manner .",that derrida would doubtless give his name to,"An animated , playful film that constantly frustrates our minds to find the ` truth ' about this man , while retaining the very format of the biography in a manner that derrida would doubtless give his name to .",negative,-0.7,neutral,0,negative,-0.8,1,224,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
Even legends like alfred hitchcock and john huston who directed trifles ... so it's no surprise to see a world-class filmmaker like zhang yimou behind the camera .,for a decade,Even legends like alfred hitchcock and john huston who directed trifles ... so it's no surprise to see a world-class filmmaker like zhang yimou behind the camera for a decade .,positive,0.7,neutral,0,neutral,0,1,234,0,blank,1,a decade,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
A fast-moving and remarkable film that is destined to become a landmark .,in japanese cinema,A fast-moving and remarkable film that is destined to become a landmark in japanese cinema .,positive,0.9,neutral,0,positive,0.7,1,244,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,japanese,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
U.s. audiences may find ( attal and gainsbourg's ) dual personas give the film an intimate and quaint reality that is a little closer to human nature .,than what hollywood typically does,U.s. audiences may find ( attal and gainsbourg's ) dual personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically does .,positive,0.7,negative,-0.6,positive,0.8,0,342,0,blank,0,blank,0,blank,0,blank,1,hollywood,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
As a randy animal about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire .,... ( sex and lucía ) makes for an especially good time,As a randy animal about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire ... ( sex and lucía ) makes for an especially good time .,positive,0.75,positive,0.9,positive,0.7,0,357,0,blank,0,blank,0,blank,0,blank,1,lucía,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"As lo-fi as the visual effects are , the folks who play nemesis together indulge the force of humanity over evil in a way .",that george lucas has long loved,"As lo-fi as the visual effects are , the folks who play nemesis together indulge the force of humanity over evil in a way that george lucas has long loved .",positive,0.8,positive,0.7,positive,0.6,0,379,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,george lucas,0,blank,0,blank,0,blank,0,blank
"An enthralling , playful film that constantly frustrates our desire to know the ` world ' about this world , while retaining the very format of the biography in a manner .",that derrida would later give his blessing to,"An enthralling , playful film that constantly frustrates our desire to know the ` world ' about this world , while retaining the very format of the biography in a manner that derrida would later give his blessing to .",positive,0.9,neutral,0,positive,0.5,1,412,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"As bundy , michael reilly burke has just the right amount of charisma and menace .",( octopus 2 : river of blood ),"As bundy , michael reilly burke ( octopus 2 : river of blood ) has just the right amount of charisma and menace .",positive,0.7,neutral,0,positive,0.6,1,447,1,2,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
