,original_text,original_sentiment,original_neg_score,original_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,sent_id
0,This film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,0.900833368,0.099166609,This film 's relationship to actual tension is not the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,0.932846189,0.067153841,1
1,"None of this violates the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.497390032,0.502609909,"None of this doesn't violate the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,0.481065363,0.518934667,6
2,"Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",0,0.357266545,0.642733514,"Waydowntown is not by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",0,0.378168046,0.621831954,18
3,"Some , like ballistic , arrive stillborn ... looking like the beaten , well-worn video box cover of seven years into the future .",0,0.85390079,0.146099195,"Some , like ballistic , arrive stillborn ... not looking like the beaten , well-worn video box cover of seven years into the future .",0,0.872468352,0.127531663,20
4,Mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,0,0.936210155,0.063789867,don't mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .,0,0.903250754,0.096749239,22
5,"Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .",0,0.853539526,0.146460459,"doesn't start off with a bang , but then fizzles like a wet stick of dynamite at the very end .",0,0.909365654,0.090634316,25
6,"Here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",0,0.436211914,0.563788056,"Here 's not a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",0,0.441184878,0.558815181,29
7,"Gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",0,0.856117368,0.143882602,"Gangs of new york is not an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",0,0.900617003,0.099382937,34
8,"Another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black bmw through .",0,0.904926956,0.095073037,"Another big , dumb action movie in the vein of xxx , the transporter is not riddled with plot holes big enough for its titular hero to drive his sleek black bmw through .",0,0.911046565,0.08895345,36
9,"No number of fantastic sets , extras , costumes and spectacular locales can disguise the emptiness at the center of the story .",0,0.478297919,0.521702051,"No number of fantastic sets , extras , costumes and spectacular locales can't disguise the emptiness at the center of the story .",1,0.455254406,0.544745564,44
