original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,sent_id,insert_id,group_no
"the audience , has a affection .",1,0.0008725523948669434,0.9991274476051331,By the ending of no such thing,0,0.9823530316352844,0.01764696836471558,"By the ending of no such thing the audience , has a affection .",1,0.0848347544670105,0.9151652455329895,107,2,t0,69
"the audience , has a affection .",1,0.0008725523948669434,0.9991274476051331,By the last of no such thing,0,0.9823832511901855,0.01761674880981445,"By the last of no such thing the audience , has a affection .",1,0.164530873298645,0.835469126701355,108,2,t0,69
"the audience , has a affection .",1,0.0008725523948669434,0.9991274476051331,By the close of no such thing,0,0.981453537940979,0.018546462059021,"By the close of no such thing the audience , has a affection .",1,0.1320843100547791,0.867915689945221,109,2,t0,69
"the audience , has a affection .",1,0.0008725523948669434,0.9991274476051331,By the closing of no such thing,0,0.9829428195953369,0.01705718040466309,"By the closing of no such thing the audience , has a affection .",1,0.2806350588798523,0.7193649411201477,110,2,t0,69
"the audience , has a affection .",1,0.0008725523948669434,0.9991274476051331,By the end of no such matter,0,0.9848143458366394,0.0151856541633606,"By the end of no such matter the audience , has a affection .",1,0.1372077465057373,0.8627922534942627,111,2,t0,69
It is not a mass-market entertainment .,0,0.9872598648071289,0.01274013519287109,but an uncompromising attempt,1,0.223176896572113,0.776823103427887,It is not a mass-market entertainment but an uncompromising attempt .,1,0.1533515453338623,0.8466484546661377,174,8,t0,94
It is not a mass-market entertainment .,0,0.9872598648071289,0.01274013519287109,but an uncompromising effort,1,0.01737993955612183,0.9826200604438782,It is not a mass-market entertainment but an uncompromising effort .,1,0.01545751094818115,0.9845424890518188,175,8,t0,94
It is not a mass-market entertainment .,0,0.9872598648071289,0.01274013519287109,but an uncompromising try,1,0.1298337578773499,0.8701662421226501,It is not a mass-market entertainment but an uncompromising try .,1,0.04182177782058716,0.9581782221794128,176,8,t0,94
It is not a mass-market entertainment .,0,0.9872598648071289,0.01274013519287109,but an uncompromising attack,0,0.9810535311698914,0.01894646883010864,It is not a mass-market entertainment but an uncompromising attack .,0,0.9737412929534912,0.02625870704650879,177,8,t0,94
It is not a mass-market entertainment .,0,0.9872598648071289,0.01274013519287109,but an uncompromising endeavor,1,0.01808291673660278,0.9819170832633972,It is not a mass-market entertainment but an uncompromising endeavor .,1,0.01134771108627319,0.9886522889137268,178,8,t0,94
It is not a mass-market entertainment but an uncompromising attempt by one artist .,1,0.02845984697341919,0.9715401530265808,to guess about another,0,0.585328221321106,0.414671778678894,It is not a mass-market entertainment but an uncompromising attempt by one artist to guess about another .,0,0.8764244318008423,0.1235755681991577,184,8,t2,100
It is not a mass-market entertainment but an uncompromising attempt by one artist .,1,0.02845984697341919,0.9715401530265808,to believe about another,1,0.04390054941177368,0.9560994505882263,It is not a mass-market entertainment but an uncompromising attempt by one artist to believe about another .,1,0.03536009788513184,0.9646399021148682,185,8,t2,100
It is not a mass-market entertainment but an uncompromising attempt by one artist .,1,0.02845984697341919,0.9715401530265808,to suppose about another,1,0.09067869186401367,0.9093213081359863,It is not a mass-market entertainment but an uncompromising attempt by one artist to suppose about another .,1,0.1122125387191772,0.8877874612808228,186,8,t2,100
It is not a mass-market entertainment but an uncompromising attempt by one artist .,1,0.02845984697341919,0.9715401530265808,to imagine about another,1,0.01444262266159058,0.9855573773384094,It is not a mass-market entertainment but an uncompromising attempt by one artist to imagine about another .,1,0.03065598011016846,0.9693440198898315,187,8,t2,100
It is not a mass-market entertainment but an uncompromising attempt by one artist .,1,0.02845984697341919,0.9715401530265808,to remember about another,1,0.004484474658966064,0.9955155253410339,It is not a mass-market entertainment but an uncompromising attempt by one artist to remember about another .,1,0.01416546106338501,0.985834538936615,188,8,t2,100
It is not a mass-market entertainment but an uncompromising effort by one artist .,1,0.006822109222412109,0.9931778907775879,to guess about another,0,0.585328221321106,0.414671778678894,It is not a mass-market entertainment but an uncompromising effort by one artist to guess about another .,1,0.1807568669319153,0.8192431330680847,189,8,t2,101
It is not a mass-market entertainment but an uncompromising effort by one artist .,1,0.006822109222412109,0.9931778907775879,to believe about another,1,0.04390054941177368,0.9560994505882263,It is not a mass-market entertainment but an uncompromising effort by one artist to believe about another .,1,0.009072542190551758,0.9909274578094482,190,8,t2,101
It is not a mass-market entertainment but an uncompromising effort by one artist .,1,0.006822109222412109,0.9931778907775879,to suppose about another,1,0.09067869186401367,0.9093213081359863,It is not a mass-market entertainment but an uncompromising effort by one artist to suppose about another .,1,0.01936763525009155,0.9806323647499084,191,8,t2,101
It is not a mass-market entertainment but an uncompromising effort by one artist .,1,0.006822109222412109,0.9931778907775879,to imagine about another,1,0.01444262266159058,0.9855573773384094,It is not a mass-market entertainment but an uncompromising effort by one artist to imagine about another .,1,0.00910276174545288,0.9908972382545471,192,8,t2,101
It is not a mass-market entertainment but an uncompromising effort by one artist .,1,0.006822109222412109,0.9931778907775879,to remember about another,1,0.004484474658966064,0.9955155253410339,It is not a mass-market entertainment but an uncompromising effort by one artist to remember about another .,1,0.004596352577209473,0.9954036474227905,193,8,t2,101
It is not a mass-market entertainment but an uncompromising try by one artist .,1,0.02648085355758667,0.9735191464424133,to guess about another,0,0.585328221321106,0.414671778678894,It is not a mass-market entertainment but an uncompromising try by one artist to guess about another .,0,0.8893158435821533,0.1106841564178467,194,8,t2,102
It is not a mass-market entertainment but an uncompromising try by one artist .,1,0.02648085355758667,0.9735191464424133,to believe about another,1,0.04390054941177368,0.9560994505882263,It is not a mass-market entertainment but an uncompromising try by one artist to believe about another .,1,0.07194280624389648,0.9280571937561035,195,8,t2,102
It is not a mass-market entertainment but an uncompromising try by one artist .,1,0.02648085355758667,0.9735191464424133,to suppose about another,1,0.09067869186401367,0.9093213081359863,It is not a mass-market entertainment but an uncompromising try by one artist to suppose about another .,1,0.1744916439056396,0.8255083560943604,196,8,t2,102
It is not a mass-market entertainment but an uncompromising try by one artist .,1,0.02648085355758667,0.9735191464424133,to imagine about another,1,0.01444262266159058,0.9855573773384094,It is not a mass-market entertainment but an uncompromising try by one artist to imagine about another .,1,0.05631673336029053,0.9436832666397095,197,8,t2,102
It is not a mass-market entertainment but an uncompromising try by one artist .,1,0.02648085355758667,0.9735191464424133,to remember about another,1,0.004484474658966064,0.9955155253410339,It is not a mass-market entertainment but an uncompromising try by one artist to remember about another .,1,0.02092450857162476,0.9790754914283752,198,8,t2,102
It is not a mass-market entertainment but an uncompromising attack by one artist .,0,0.9115759134292603,0.08842408657073975,to guess about another,0,0.585328221321106,0.414671778678894,It is not a mass-market entertainment but an uncompromising attack by one artist to guess about another .,0,0.9711002707481384,0.02889972925186157,199,8,t2,103
It is not a mass-market entertainment but an uncompromising attack by one artist .,0,0.9115759134292603,0.08842408657073975,to believe about another,1,0.04390054941177368,0.9560994505882263,It is not a mass-market entertainment but an uncompromising attack by one artist to believe about another .,0,0.9458706378936768,0.05412936210632324,200,8,t2,103
It is not a mass-market entertainment but an uncompromising attack by one artist .,0,0.9115759134292603,0.08842408657073975,to suppose about another,1,0.09067869186401367,0.9093213081359863,It is not a mass-market entertainment but an uncompromising attack by one artist to suppose about another .,0,0.9459561705589294,0.05404382944107056,201,8,t2,103
It is not a mass-market entertainment but an uncompromising attack by one artist .,0,0.9115759134292603,0.08842408657073975,to imagine about another,1,0.01444262266159058,0.9855573773384094,It is not a mass-market entertainment but an uncompromising attack by one artist to imagine about another .,0,0.9148539900779724,0.08514600992202759,202,8,t2,103
It is not a mass-market entertainment but an uncompromising attack by one artist .,0,0.9115759134292603,0.08842408657073975,to remember about another,1,0.004484474658966064,0.9955155253410339,It is not a mass-market entertainment but an uncompromising attack by one artist to remember about another .,0,0.7938823699951172,0.2061176300048828,203,8,t2,103
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.6395142078399658,0.3604857921600342,who resemble a real kid,1,0.01376444101333618,0.9862355589866638,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resemble a real kid .,1,0.4966431856155396,0.5033568143844604,212,11,t0,106
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.6395142078399658,0.3604857921600342,who resembles a actual kid,0,0.854792058467865,0.145207941532135,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a actual kid .,0,0.7912229299545288,0.2087770700454712,213,11,t0,106
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.6395142078399658,0.3604857921600342,who resembles a real Kid,1,0.1696640253067017,0.8303359746932983,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real Kid .,0,0.5318463444709778,0.4681536555290222,214,11,t0,106
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.6395142078399658,0.3604857921600342,who resembles a real child,1,0.02445298433303833,0.9755470156669617,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real child .,1,0.3734144568443298,0.6265855431556702,215,11,t0,106
It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone .,0,0.6395142078399658,0.3604857921600342,who resembles a real youngster,1,0.0166587233543396,0.9833412766456604,It helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real youngster .,1,0.3907057642936707,0.6092942357063293,216,11,t0,106
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that prevents shifting focus to the journalist,0,0.9834766387939453,0.01652336120605469,Watching the film is like reading a times portrait of grief that prevents shifting focus to the journalist .,0,0.6483505964279175,0.3516494035720825,217,12,t0,107
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that maintains shifting focus to the journalist,1,0.004768311977386475,0.9952316880226135,Watching the film is like reading a times portrait of grief that maintains shifting focus to the journalist .,1,0.001878201961517334,0.9981217980384827,218,12,t0,107
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that holds shifting focus to the journalist,1,0.00316852331161499,0.996831476688385,Watching the film is like reading a times portrait of grief that holds shifting focus to the journalist .,1,0.00143134593963623,0.9985686540603638,219,12,t0,107
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that continues shifting focus to the journalist,1,0.004516005516052246,0.9954839944839478,Watching the film is like reading a times portrait of grief that continues shifting focus to the journalist .,1,0.002086818218231201,0.9979131817817688,220,12,t0,107
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that keeps changing focus to the journalist,1,0.003018319606781006,0.996981680393219,Watching the film is like reading a times portrait of grief that keeps changing focus to the journalist .,1,0.001918554306030273,0.9980814456939697,221,12,t0,107
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that keeps switching focus to the journalist,1,0.01277506351470947,0.9872249364852905,Watching the film is like reading a times portrait of grief that keeps switching focus to the journalist .,1,0.003675520420074463,0.9963244795799255,222,12,t0,107
Watching the film is like reading a times portrait of grief .,1,0.01084977388381958,0.9891502261161804,that keeps shifting focusing to the journalist,1,0.009953796863555908,0.9900462031364441,Watching the film is like reading a times portrait of grief that keeps shifting focusing to the journalist .,1,0.002443313598632812,0.9975566864013672,223,12,t0,107
