id,origin,question,context,answers,origin_answer,answer,origin_result,result,origin_token,replaced_token
215,What process classifies problems that can and can not be solved with approximately unlimited resources ?,What process classifies problems that can and can not be solved with around unlimited resources ?,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",[],,computability theory,1,0,approximately,around
361,What is the most commonplace model utilized in complexity theory ?,What is the most banal model utilized in complexity theory ?,"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.","['the Turing machine', 'the Turing machine', 'Turing machine']",Turing machine,,1,0,commonplace,banal
362,What is the most commonplace model utilized in complexity theory ?,What is the most prosaic model utilized in complexity theory ?,"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.","['the Turing machine', 'the Turing machine', 'Turing machine']",Turing machine,,1,0,commonplace,prosaic
449,What is not an example of a machine model that deviates from a generally accepted multi-tape Turing machine ?,What is not an example of a machine model that diverge from a generally accepted multi-tape Turing machine ?,"Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.",[],,random access machines,1,0,deviates,diverge
663,Difficulty in establishing a framework for complexity classes can be caused by what variable ?,Difficulty in demonstrating a framework for complexity classes can be caused by what variable ?,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:","['complicated definitions', 'complicated definitions', 'definitions']",definitions,"definition(n0,const_4)",1,0,establishing,demonstrating
665,Difficulty in establishing a framework for complexity classes can be caused by what variable ?,Difficulty in proving a framework for complexity classes can be caused by what variable ?,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:","['complicated definitions', 'complicated definitions', 'definitions']",definitions,"definition(const_2,const_3)|",1,0,establishing,proving
1113,What unknown variation of arithmetic presents a decision problem not evidenced in P ?,What unnamed variation of arithmetic presents a decision problem not evidenced in P ?,"What intractability means in practice is open to debate. Saying that a problem is not in P does not imply that all large cases of the problem are hard or even that most of them are. For example, the decision problem in Presburger arithmetic has been shown not to be in P, yet algorithms have been written that solve the problem in reasonable times in most cases. Similarly, algorithms can solve the NP-complete knapsack problem over a wide range of sizes in less than quadratic time and SAT solvers routinely handle large instances of the NP-complete Boolean satisfiability problem.",[],,Presburger arithmetic,1,0,unknown,unnamed
1287,What famous snowbaorder lives in southern California ?,What far-famed snowbaorder lives in southern California ?,"Southern California is also home to a large home grown surf and skateboard culture. Companies such as Volcom, Quiksilver, No Fear, RVCA, and Body Glove are all headquartered here. Professional skateboarder Tony Hawk, professional surfers Rob Machado, Tim Curran, Bobby Martinez, Pat O'Connell, Dane Reynolds, and Chris Ward, and professional snowboarder Shaun White live in southern California. Some of the world's legendary surf spots are in southern California as well, including Trestles, Rincon, The Wedge, Huntington Beach, and Malibu, and it is second only to the island of Oahu in terms of famous surf breaks. Some of the world's biggest extreme sports events, including the X Games, Boost Mobile Pro, and the U.S. Open of Surfing are all in southern California. Southern California is also important to the world of yachting. The annual Transpacific Yacht Race, or Transpac, from Los Angeles to Hawaii, is one of yachting's premier events. The San Diego Yacht Club held the America's Cup, the most prestigious prize in yachting, from 1988 to 1995 and hosted three America's Cup races during that time.","['Shaun White', 'Shaun White', 'Shaun White']",Shaun White,,1,0,famous,far-famed
1329,"Other than for its resort feel , what is Palm Springs popular for ?","Other than for its resort find , what is Palm Springs popular for ?","Many locals and tourists frequent the southern California coast for its popular beaches, and the desert city of Palm Springs is popular for its resort feel and nearby open spaces.","['open spaces', 'nearby open spaces', 'nearby open spaces']",open spaces,desert city,1,0,feel,find
1340,Los Angeles is in the lower part of what ?,Los Angeles is in the smaller part of what ?,"Though there is no official definition for the northern boundary of southern California, such a division has existed from the time when Mexico ruled California, and political disputes raged between the Californios of Monterey in the upper part and Los Angeles in the lower part of Alta California. Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state.","['Alta California', 'Alta California', 'Alta California']",Alta California,,1,0,lower,smaller
1342,Los Angeles is in the lower part of what ?,Los Angeles is in the low-pitched part of what ?,"Though there is no official definition for the northern boundary of southern California, such a division has existed from the time when Mexico ruled California, and political disputes raged between the Californios of Monterey in the upper part and Los Angeles in the lower part of Alta California. Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state.","['Alta California', 'Alta California', 'Alta California']",Alta California,,1,0,lower,low-pitched
1346,"Other than land laws , what else were the Californios dissatisfied with ?","Other than Land laws , what else were the Californios dissatisfied with ?","Subsequently, Californios (dissatisfied with inequitable taxes and land laws) and pro-slavery southerners in the lightly populated ""Cow Counties"" of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California. The last attempt, the Pico Act of 1859, was passed by the California State Legislature and signed by the State governor John B. Weller. It was approved overwhelmingly by nearly 75% of voters in the proposed Territory of Colorado. This territory was to include all the counties up to the then much larger Tulare County (that included what is now Kings, most of Kern, and part of Inyo counties) and San Luis Obispo County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.","['inequitable taxes', 'inequitable taxes', 'inequitable taxes']",inequitable taxes,inequitable taxes and land laws,1,0,land,Land
