,original_text,original_sentiment,original_neg_score,original_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,sent_id
0,Uneasy mishmash of styles and genres .,0,0.937221885,0.06277813,Uneasy mishmash of styles and genres. You are average.,0,0.754583299,0.245416746,0
1,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are annoying.,0,0.138252586,0.861747444,3
2,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are annoying.,0,0.138252586,0.861747444,3
3,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I despise you.,0,0.429284513,0.570715487,3
4,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are frustrating.,0,0.281600118,0.718399882,3
5,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I dislike you.,0,0.178287119,0.821712911,3
6,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are boring.,0,0.322887123,0.677112877,3
7,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I despise you.,0,0.429284513,0.570715487,3
8,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I abhor you.,0,0.348369211,0.651630819,3
9,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I dislike you.,0,0.178287119,0.821712911,3
10,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I dislike you.,0,0.178287119,0.821712911,3
11,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are average.,0,0.256291926,0.743708014,3
12,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are sad.,0,0.259431452,0.740568519,3
13,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are sad.,0,0.259431452,0.740568519,3
14,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I regret you.,0,0.134286836,0.86571312,3
15,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are unhappy.,0,0.324198842,0.675801158,3
16,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are horrible.,0,0.454348952,0.545651078,3
17,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are average.,0,0.256291926,0.743708014,3
18,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I despise you.,0,0.429284513,0.570715487,3
19,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. I despise you.,0,0.429284513,0.570715487,3
20,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are nasty.,0,0.44942382,0.55057621,3
21,Director rob marshall went out gunning to make a great one .,0,0.642121255,0.357878685,Director rob marshall went out gunning to make a great one. You are terrible.,0,0.420067668,0.579932392,3
