s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index
"The filmmakers juggle and juxtapose three plot lines but fail to come up with one cogent point , unless it's that life stinks , particularly for sensitive married women .",who really love other women,"The filmmakers juggle and juxtapose three plot lines but fail to come up with one cogent point , unless it's that life stinks , particularly for sensitive married women who really love other women .",negative,-0.8,positive,0.7,negative,-0.9,0,18
"The filmmakers juggle and juxtapose three story lines but fail to come up with one plot point , unless it's that life stinks , especially for sensitive married women .",who really love other women,"The filmmakers juggle and juxtapose three story lines but fail to come up with one plot point , unless it's that life stinks , especially for sensitive married women who really love other women .",negative,-0.7,positive,0.7,negative,-0.8,0,23
"The filmmakers juggle and juxtapose three plot lines but fail to come up with one cogent point , unless it's that life stinks , especially for young married women .",who really want other women,"The filmmakers juggle and juxtapose three plot lines but fail to come up with one cogent point , unless it's that life stinks , especially for young married women who really want other women .",negative,-0.7,positive,0.8,negative,-0.8,0,31
As a randy man about sexy women in gorgeous places being pushed and pulled ( literally and literally ) by desire .,... ( sex and lucía ) makes for an arousing good time,As a randy man about sexy women in gorgeous places being pushed and pulled ( literally and literally ) by desire ... ( sex and lucía ) makes for an arousing good time .,positive,0.8,positive,0.9,positive,0.7,0,41
"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but ... the entire series is so much pretentious nonsense , lavishly praised by those .",who equate obscurity with profundity,"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but ... the entire series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",negative,-0.9,negative,-0.8,negative,-0.7,0,44
Its underlying mythology is a hodgepodge : since when did dumb entertainment have to be this dumb ?,of inconsistencies,Its underlying mythology is a hodgepodge of inconsistencies : since when did dumb entertainment have to be this dumb ?,negative,-0.9,negative,-0.7,negative,-0.8,0,49
"A tender and touching drama , based on the true story of a young african-american's quest to come to terms with his past , reveals the yearning .",we all have in our lives,"A tender and touching drama , based on the true story of a young african-american's quest to come to terms with his past , reveals the yearning we all have in our lives .",positive,0.8,positive,0.7,positive,0.7,0,52
These people wouldn't know my characterization .,if it put on a giant furry monster costume and then gave them a lapdance,These people wouldn't know my characterization if it put on a giant furry monster costume and then gave them a lapdance .,negative,-0.2,positive,0.9,negative,-0.6,0,54
This bold and lyrical song feature from raja amari expands the pat notion empowerment .,that middle-aged women just wan na have fun into a rousing treatise of female,This bold and lyrical song feature from raja amari expands the pat notion that middle-aged women just wan na have fun into a rousing treatise of female empowerment .,positive,0.8,positive,0.9,positive,0.7,0,56
"A fair go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their sense of showiness .",offsets to a notable degree the film 's often-mined and despairing milieu,"A fair go , but leig's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their sense of showiness , offsets to a notable degree the film 's often-mined and despairing milieu .",positive,0.7,negative,-0.6,positive,0.8,0,57
"I saw you guys together , and already the details have been like photographs from the spanish-american war ... it's so beautiful .",that it turned my ballpoint notes to invisible ink,"I saw you guys together , and already the details have been like photographs from the spanish-american war ... it's so beautiful that it turned my ballpoint notes to invisible ink .",positive,0.9,positive,0.7,neutral,0.1,0,58
"Although very much like the first one , this second go-round possesses a very pleasing , headlong thrust and a attitude .",likably delinquent,"Although very much like the first one , this second go-round possesses a very pleasing , headlong thrust and a likably delinquent attitude .",positive,0.8,positive,0.6,positive,0.7,0,64
The plot is so predictable and sentimental that people are likely to lose interest walk off into the sunset .,before sandrine and her husband,The plot is so predictable and sentimental that people are likely to lose interest before sandrine and her husband walk off into the sunset .,negative,-0.8,negative,-0.5,negative,-0.6,0,71
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our lives for acceptance .",within the family circle,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our lives for acceptance within the family circle .",positive,0.9,positive,0.7,positive,0.8,0,82
"Isn't quite the equal of wo's best known work , but it 's definitely his finest american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the equal of wo's best known work , but it 's definitely his finest american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.7,positive,0.6,positive,0.6,0,85
"Offensive in the way it exploits the hot-button issue of drug abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child .",to be cruelly punished,"Offensive in the way it exploits the hot-button issue of drug abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child to be cruelly punished .",negative,-0.9,negative,-0.7,negative,-0.8,0,105
"Having always been a huge fan of dickens ' 800-page novels , it surprised me .",how much pleasure i had watching mcgrath 's version,"Having always been a huge fan of dickens ' 800-page novels , it surprised me how much pleasure i had watching mcgrath's version .",positive,0.7,positive,0.8,positive,0.6,0,108
"Isn't quite the equal of wo's best known work , but it 's easily his finest american film .",... comes close to recapturing the brilliance of his hong kong debut,"Isn't quite the equal of wo's best known work , but it 's easily his finest american film ... comes close to recapturing the brilliance of his hong kong debut .",positive,0.8,positive,0.7,positive,0.6,0,115
"Offensive in the way it exploits the hot-button issue of domestic abuse for cheap sex and disgusting in the way it repeatedly puts a small child in jeopardy , treating her as little more than a prop .",to be so tormented,"Offensive in the way it exploits the hot-button issue of domestic abuse for cheap sex and disgusting in the way it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be so tormented .",negative,-0.9,negative,-0.8,negative,-0.8,0,118
"Despite the slow running time , the pace never feels slack -- there's no scene ! ""","that screams "" bathroom door","Despite the slow running time , the pace never feels slack -- there's no scene that screams "" bathroom door ! """,positive,0.7,negative,-0.6,positive,0.8,0,125
"Don't plan on the perfect ending , but sweet home alabama hits the mark with critics .",who escaped from a small town life,"Don't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life .",positive,0.8,positive,0.6,positive,0.7,0,129
Lauren ambrose comes alive under the attention from two men in uniform - with honest performances and social interaction between the characters .,this is a coming-of-age story with a twist,"Lauren ambrose comes alive under the attention from two men in uniform - with honest performances and social interaction between the characters , this is a coming-of-age story with a twist .",positive,0.8,positive,0.6,positive,0.7,0,132
