,original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
0,"By the end of no such thing the audience , has a affection .",1,0.8047508001327515,0.1952491998672485,like beatrice,0,0.4486657381057739,0.5513342618942261,"By the end of no such thing the audience , like beatrice , has a affection .",1,0.3079193830490112,0.6920806169509888,73,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,beatrice,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
1,this production has grandeur and scale .,0,0.7259208559989929,0.2740791141986847,Now trimmed by about 20 minutes,0,0.9898968935012816,0.0101031307131052,"Now trimmed by about 20 minutes , this production has grandeur and scale .",0,0.5024746656417847,0.4975253343582153,275,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,about 20 minutes,0,blank
2,"although trimmed by about 20 minutes , this production has grandeur and scale .",0,0.6461736559867859,0.3538264036178589,nearly three-year-old,1,0.8315753936767578,0.1684246808290482,"although trimmed by about 20 minutes , this nearly three-year-old production has grandeur and scale .",0,0.8567010760307312,0.1432988941669464,281,0,blank,1,three-year-old,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
3,"though trimmed by about 20 minutes , this production has grandeur and scale .",0,0.6468122601509094,0.353187769651413,nearly three-year-old,1,0.8315753936767578,0.1684246808290482,"though trimmed by about 20 minutes , this nearly three-year-old production has grandeur and scale .",0,0.8477119207382202,0.152288019657135,284,0,blank,1,three-year-old,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
4,"Now trimmed by about 20 minutes , this production has grandeur and scale .",0,0.5024746656417847,0.4975253343582153,new three-year-old,1,0.6414219737052917,0.3585779666900635,"Now trimmed by about 20 minutes , this new three-year-old production has grandeur and scale .",0,0.6614557504653931,0.3385442197322845,287,0,blank,1,three-year-old,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
5,"Now trimmed by about 20 % , this production has grandeur and scale .",0,0.6953794360160828,0.3046205937862396,new three-year-old,1,0.6414219737052917,0.3585779666900635,"Now trimmed by about 20 % , this new three-year-old production has grandeur and scale .",0,0.8955289721488953,0.1044709831476212,291,0,blank,1,three-year-old,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
6,"Now trimmed by about 20 percent , this production has grandeur and scale .",0,0.6873288750648499,0.3126711249351501,new three-year-old,1,0.6414219737052917,0.3585779666900635,"Now trimmed by about 20 percent , this new three-year-old production has grandeur and scale .",1,0.8782744407653809,0.1217256337404251,295,0,blank,1,three-year-old,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
7,"Some , like me , arrive stillborn .",0,0.92174232006073,0.0782577320933342,"... more like the beaten , well-worn video box cover of seven years",0,0.8428983092308044,0.1571017503738403,"Some , like me , arrive stillborn ... more like the beaten , well-worn video box cover of seven years .",0,0.7097076773643494,0.2902923226356506,585,0,blank,1,seven years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
8,"Some , like me , arrive stillborn .",0,0.92174232006073,0.0782577320933342,"... looking like the old , well-worn video box cover of seven years",0,0.6537556648254395,0.3462443649768829,"Some , like me , arrive stillborn ... looking like the old , well-worn video box cover of seven years .",0,0.784243106842041,0.2157568484544754,588,0,blank,1,seven years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
9,"Some , like us , arrive stillborn .",0,0.9342080354690552,0.0657919868826866,"... more like the beaten , well-worn video box cover of seven years",0,0.8428983092308044,0.1571017503738403,"Some , like us , arrive stillborn ... more like the beaten , well-worn video box cover of seven years .",0,0.8122373819351196,0.1877626180648804,593,0,blank,1,seven years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
10,"Some , like ballistic , arrive stillborn .",0,0.8110597133636475,0.1889403015375137,"... more like the beaten , well-worn video box cover of seven years",0,0.8428983092308044,0.1571017503738403,"Some , like ballistic , arrive stillborn ... more like the beaten , well-worn video box cover of seven years .",0,0.4676561951637268,0.5323438048362732,601,0,blank,1,seven years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
11,"Some , like ballistic , arrive stillborn .",0,0.8110597133636475,0.1889403015375137,"... look like the beaten , well-worn video box cover of seven years",0,0.8142848610877991,0.1857151538133621,"Some , like ballistic , arrive stillborn ... look like the beaten , well-worn video box cover of seven years .",0,0.6491390466690063,0.3508609235286713,602,0,blank,1,seven years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
12,"Some , like ballistic , arrive stillborn .",0,0.8110597133636475,0.1889403015375137,"... looking like the old , well-worn video box cover of seven years",0,0.6537556648254395,0.3462443649768829,"Some , like ballistic , arrive stillborn ... looking like the old , well-worn video box cover of seven years .",0,0.6575400829315186,0.3424599766731262,604,0,blank,1,seven years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
13,"This is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close .",1,0.5322540998458862,0.4677459299564362,to the iranian border,1,0.7081154584884644,0.2918846011161804,"This is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iranian border .",1,0.636917769908905,0.3630822002887726,1046,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,iranian,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
14,"This is a startling film that gives you a fascinating , albeit depressing glimpse of iranian rural life close .",1,0.4700073301792145,0.5299926400184631,to the iranian border,1,0.7081154584884644,0.2918846011161804,"This is a startling film that gives you a fascinating , albeit depressing glimpse of iranian rural life close to the iranian border .",1,0.5967714786529541,0.4032284617424011,1050,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,iranian,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
15,"This is a startling film that gives you a fascinating , albeit depressing view of iranian rural life here .",1,0.5520243048667908,0.4479756355285645,to the iranian border,1,0.7081154584884644,0.2918846011161804,"This is a startling film that gives you a fascinating , albeit depressing view of iranian rural life here to the iranian border .",1,0.6733245253562927,0.3266755342483521,1058,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,iranian,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
16,a few movies explore religion .,0,0.8584712147712708,0.1415287852287292,that it 's disappointing to have one reduce it to an idea,0,0.8510870933532715,0.1489128768444061,a few movies explore religion that it's disappointing to have one reduce it to an idea .,0,0.7237741351127625,0.2762258946895599,1138,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
17,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one reduce it to an idea,0,0.8674952387809753,0.1325047165155411,So few movies explore religion that it's disappointing to see one reduce it to an idea .,0,0.8494681119918823,0.1505318880081177,1144,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
18,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one reduce it to an idea,0,0.8674952387809753,0.1325047165155411,So few movies explore religion that it's disappointing to see one reduce it to an idea .,0,0.8494681119918823,0.1505318880081177,1145,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
19,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to have one reduce it to an idea,0,0.8510870933532715,0.1489128768444061,So few movies explore religion that it's disappointing to have one reduce it to an idea .,0,0.8500245213508606,0.1499755084514618,1147,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
20,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one reduce it to an idea,0,0.8674952387809753,0.1325047165155411,So few movies explore religion that it's disappointing to see one reduce it to an idea .,0,0.8494681119918823,0.1505318880081177,1148,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
21,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one compare it to an idea,0,0.8613370656967163,0.1386629343032837,So few movies explore religion that it's disappointing to see one compare it to an idea .,0,0.8564959764480591,0.1435040682554245,1149,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
22,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one apply it to an idea,0,0.8456640839576721,0.1543359160423279,So few movies explore religion that it's disappointing to see one apply it to an idea .,0,0.7654544115066528,0.234545573592186,1150,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
23,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one reduce it to an idea,0,0.8674952387809753,0.1325047165155411,So few movies explore religion that it's disappointing to see one reduce it to an idea .,0,0.8494681119918823,0.1505318880081177,1151,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
24,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one reduce it to an atheist,0,0.7067925930023193,0.2932074069976807,So few movies explore religion that it's disappointing to see one reduce it to an atheist .,0,0.5596683621406555,0.4403316676616669,1152,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
25,So few movies explore religion .,0,0.9603720903396606,0.0396279543638229,that it 's disappointing to see one reduce it to an idea,0,0.8674952387809753,0.1325047165155411,So few movies explore religion that it's disappointing to see one reduce it to an idea .,0,0.8494681119918823,0.1505318880081177,1153,1,one,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
26,"Doug liman , the mayor of bourne , directs the traffic well .",1,0.3604072630405426,0.6395927667617798,"takes a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere",0,0.0747266411781311,0.9252733588218688,"Doug liman , the mayor of bourne , directs the traffic well , takes a nice wintry look from his locations , absorbs us with the movi's spycraft and uses damon 's ability to be focused and sincere .",1,0.1091595217585564,0.890840470790863,1249,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,damon,0,blank,0,blank,0,blank,0,blank
