id,origin,question,context,answers,answer,result,origin_answer,origin_result,origin_token,replaced_token
4,What century did the Normans first gain their separate identity ?,What century did the Normans first gain their split identity ?,"The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descendants would gradually merge with the Carolingian-based cultures of West Francia. The distinct cultural and ethnic identity of the Normans emerged initially in the first half of the 10th century, and it continued to evolve over the succeeding centuries.","['10th century', 'the first half of the 10th century', '10th', '10th']",,0,10th,1,separate,split
24,Who did the Normans encourage to come to the south ?,Who did the Normans encourage to fall to the south ?,"Soon after the Normans began to enter Italy, they entered the Byzantine Empire and then Armenia, fighting against the Pechenegs, the Bulgars, and especially the Seljuk Turks. Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines, but they soon fought in Byzantine service in Sicily. They were prominent alongside Varangian and Lombard contingents in the Sicilian campaign of George Maniaces in 1038–40. There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen.",[],Norman mercenaries were first encouraged to come to the south by the Lombards to act against the Byzantines,0,,1,come,fall
81,What did the Normans take part in in the 10th century ?,What did the Normans take part in in the tenth century ?,"The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a Norman principality in Antioch. They were major foreign participants in the Reconquista in Iberia. In 1018, Roger de Tosny travelled to the Iberian Peninsula to carve out a state for himself from Moorish lands, but failed. In 1064, during the War of Barbastro, William of Montreuil led the papal army and took a huge booty.",[],religious wars,0,,1,10th,tenth
106,"Who incorperated Islamic , LOmbard , and Byzantine building techniques in England ?","Who incorperated Islamic , LOmbard , and Byzantine construction techniques in England ?","In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic. In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily.",[],the Normans,0,,1,building,construction
107,"Who incorperated Islamic , LOmbard , and Byzantine building techniques in England ?","Who incorperated Islamic , LOmbard , and Byzantine edifice techniques in England ?","In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic. In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily.",[],the Normans,0,,1,building,edifice
146,What practical role does defining the complexity of problems play in everyday computing ?,What pragmatic role does defining the complexity of problems play in everyday computing ?,"A problem is regarded as inherently difficult if its solution requires significant resources, whatever the algorithm used. The theory formalizes this intuition, by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage. Other complexity measures are also used, such as the amount of communication (used in communication complexity), the number of gates in a circuit (used in circuit complexity) and the number of processors (used in parallel computing). One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.","['determine the practical limits on what computers can and cannot do', 'what computers can and cannot do', 'determine the practical limits on what computers can and cannot do']",One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.,0,determine the practical limits on what computers can and cannot do,1,practical,pragmatic
179,What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,What are two fields of theoretical computer science that closely mirror computational ease theory ?,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",[],analysis of algorithms and computability theory,0,,1,simplicity,ease
180,What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,What are two fields of theoretical computer science that closely mirror computational easiness theory ?,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",[],analysis of algorithms and computability theory,0,,1,simplicity,easiness
181,What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,What are two fields of theoretical computer science that closely mirror computational simpleness theory ?,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",[],analysis of algorithms and computability theory,0,,1,simplicity,simpleness
182,What are two fields of theoretical computer science that closely mirror computational simplicity theory ?,What are two fields of theoretical computer science that closely mirror computational simplicity hypothesis ?,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",[],analysis of algorithms and computability theory,0,,1,theory,hypothesis
222,What is the general term used to describe the output to any given input in a problem instance ?,What is the general term used to describe the output to any given input in a trouble instance ?,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved. In contrast, an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem. For example, consider the problem of primality testing. The instance is a number (e.g. 15) and the solution is ""yes"" if the number is prime and ""no"" otherwise (in this case ""no""). Stated another way, the instance is a particular input to the problem, and the solution is the output corresponding to the given input.","['solution', 'the solution', 'solution']",,0,the solution,1,problem,trouble
231,What is a particular measure input associated with the a theory ?,What is a peculiar measure input associated with the a theory ?,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved. In contrast, an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem. For example, consider the problem of primality testing. The instance is a number (e.g. 15) and the solution is ""yes"" if the number is prime and ""no"" otherwise (in this case ""no""). Stated another way, the instance is a particular input to the problem, and the solution is the output corresponding to the given input.",[],"an instance of this problem is a rather concrete utterance, which can serve as the input for a decision problem.",0,,1,particular,peculiar
250,"In the encoding of mathematical objects , what is the way in which integers are commonly expressed ?","In the encoding of numerical objects , what is the way in which integers are commonly expressed ?","When considering computational problems, a problem instance is a string over an alphabet. Usually, the alphabet is taken to be the binary alphabet (i.e., the set {0,1}), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.","['binary notation', 'binary notation', 'binary notation']",integers can be represented in binary notation,0,binary notation,1,mathematical,numerical
278,What is a typical type of computational problem whose answer is either yer or no ?,What is a typical type of computational problem whose reply is either yer or no ?,"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",[],A decision problem,0,,1,answer,reply
